task_id,raw_bag_id,source_raw_bag_id,segment_id,segment_count,start,goal,raw_entry_seconds,release_seconds,release_tick,admission_time_seconds,completion_time_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,status,moving_ticks,stopped_ticks,hold_count,last_hold_reason,final_node,current_edge_id,position_cell
0,0,0,0,2,0,53,8264.845453000,8264.845453000,41325,8267.000000000,8408.600000000,143.754547000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
1,0,0,1,2,53,99,8264.845453000,19500.000000000,97500,19502.000000000,19768.600000000,268.600000000,266.600000000,COMPLETED,994,195,195,,99,-1,-1
2,1,1,0,2,24,53,8866.845453000,8866.845453000,44335,8869.000000000,9104.800000000,237.954547000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
3,1,1,1,2,53,99,8866.845453000,19500.000000000,97500,19502.400000000,19766.200000000,266.200000000,263.800000000,COMPLETED,996,187,189,,99,-1,-1
4,2,2,0,2,26,53,8872.816299000,8872.816299000,44365,8875.000000000,9009.800000000,136.983701000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
5,2,2,1,2,53,116,8872.816299000,19500.000000000,97500,19502.800000000,19772.600000000,272.600000000,269.800000000,COMPLETED,969,228,232,,116,-1,-1
6,3,3,0,2,95,53,8876.000872000,8876.000872000,44381,8878.200000000,9106.400000000,230.399128000,228.200000000,COMPLETED,842,179,179,,53,-1,-1
7,3,3,1,2,53,47,8876.000872000,19500.000000000,97500,19503.200000000,19681.800000000,181.800000000,178.600000000,COMPLETED,697,124,130,,47,-1,-1
8,4,4,0,2,0,53,9457.482986000,9457.482986000,47288,9459.600000000,9601.200000000,143.717014000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
9,4,4,1,2,53,99,9457.482986000,19500.000000000,97500,19503.600000000,19780.200000000,280.200000000,276.600000000,COMPLETED,997,242,250,,99,-1,-1
10,5,5,0,2,24,53,9471.615484000,9471.615484000,47359,9473.800000000,9709.600000000,237.984516000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
11,5,5,1,2,53,118,9471.615484000,20400.000000000,102000,20402.000000000,20671.800000000,271.800000000,269.800000000,COMPLETED,987,202,202,,118,-1,-1
12,6,6,0,2,26,53,10059.621620000,10059.621620000,50299,10061.800000000,10196.600000000,136.978380000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
13,6,6,1,2,53,116,10059.621620000,19500.000000000,97500,19504.000000000,19775.400000000,275.400000000,271.400000000,COMPLETED,976,245,255,,116,-1,-1
14,7,7,0,2,0,53,10073.282130000,10073.282130000,50367,10075.400000000,10217.000000000,143.717870000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
15,7,7,1,2,53,99,10073.282130000,19500.000000000,97500,19504.400000000,19782.600000000,282.600000000,278.200000000,COMPLETED,995,260,272,,99,-1,-1
16,8,8,0,2,49,53,10086.106480000,10086.106480000,50431,10088.200000000,10330.200000000,244.093520000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
17,8,8,1,2,53,46,10086.106480000,20700.000000000,103500,20702.000000000,20870.600000000,170.600000000,168.600000000,COMPLETED,683,88,88,,46,-1,-1
18,9,9,0,2,149,53,10086.334140000,10086.334140000,50432,10088.400000000,10224.200000000,137.865860000,135.800000000,COMPLETED,643,20,20,,53,-1,-1
19,9,9,1,2,53,45,10086.334140000,20700.000000000,103500,20702.400000000,20857.400000000,157.400000000,155.000000000,COMPLETED,638,81,83,,45,-1,-1
20,10,10,0,2,95,53,10086.972940000,10086.972940000,50435,10089.000000000,10315.000000000,228.027060000,226.000000000,COMPLETED,845,173,173,,53,-1,-1
21,10,10,1,2,53,47,10086.972940000,19500.000000000,97500,19504.800000000,19696.200000000,196.200000000,191.400000000,COMPLETED,693,184,198,,47,-1,-1
22,11,11,0,2,57,53,10084.439820000,10084.439820000,50423,10086.600000000,10311.200000000,226.760180000,224.600000000,COMPLETED,855,156,156,,53,-1,-1
23,11,11,1,2,53,41,10084.439820000,20700.000000000,103500,20702.800000000,20934.800000000,234.800000000,232.000000000,COMPLETED,832,200,204,,41,-1,-1
24,12,12,0,2,149,53,10644.168600000,10644.168600000,53221,10646.200000000,10782.000000000,137.831400000,135.800000000,COMPLETED,643,20,20,,53,-1,-1
25,12,12,1,2,53,42,10644.168600000,21300.000000000,106500,21302.000000000,21540.400000000,240.400000000,238.400000000,COMPLETED,867,181,181,,42,-1,-1
26,13,13,0,2,24,53,10668.178850000,10668.178850000,53341,10670.200000000,10906.000000000,237.821150000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
27,13,13,1,2,53,73,10668.178850000,21600.000000000,108000,21602.000000000,21922.000000000,322.000000000,320.000000000,COMPLETED,1134,266,266,,73,-1,-1
28,14,14,0,2,26,53,10668.288280000,10668.288280000,53342,10670.400000000,10805.200000000,136.911720000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
29,14,14,1,2,53,99,10668.288280000,19500.000000000,97500,19505.200000000,19786.800000000,286.800000000,281.600000000,COMPLETED,999,273,289,,99,-1,-1
30,15,15,0,2,0,53,10670.845400000,10670.845400000,53355,10673.000000000,10814.600000000,143.754600000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
31,15,15,1,2,53,43,10670.845400000,21300.000000000,106500,21302.400000000,21548.600000000,248.600000000,246.200000000,COMPLETED,874,205,207,,43,-1,-1
32,16,16,0,2,92,53,10683.059530000,10683.059530000,53416,10685.200000000,10827.000000000,143.940470000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
33,16,16,1,2,53,99,10683.059530000,19500.000000000,97500,19505.600000000,19791.600000000,291.600000000,286.000000000,COMPLETED,1001,293,311,,99,-1,-1
34,17,17,0,2,92,53,10683.477820000,10683.477820000,53418,10685.600000000,10829.400000000,145.922180000,143.800000000,COMPLETED,655,40,40,,53,-1,-1
35,17,17,1,2,53,44,10683.477820000,21300.000000000,106500,21302.800000000,21568.800000000,268.800000000,266.000000000,COMPLETED,933,245,249,,44,-1,-1
36,18,18,0,2,49,53,10683.106470000,10683.106470000,53416,10685.200000000,10927.200000000,244.093530000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
37,18,18,1,2,53,85,10683.106470000,21300.000000000,106500,21303.200000000,21520.200000000,220.200000000,217.000000000,COMPLETED,836,161,167,,85,-1,-1
38,19,19,0,2,57,53,10691.811150000,10691.811150000,53460,10694.000000000,10918.600000000,226.788850000,224.600000000,COMPLETED,855,156,156,,53,-1,-1
39,19,19,1,2,53,18,10691.811150000,22200.000000000,111000,22202.000000000,22435.600000000,235.600000000,233.600000000,COMPLETED,878,162,162,,18,-1,-1
40,20,20,0,2,95,53,10693.103270000,10693.103270000,53466,10695.200000000,10922.400000000,229.296730000,227.200000000,COMPLETED,845,179,179,,53,-1,-1
41,20,20,1,2,53,101,10693.103270000,21900.000000000,109500,21902.000000000,22182.000000000,282.000000000,280.000000000,COMPLETED,1043,205,205,,101,-1,-1
42,21,21,0,2,92,53,10693.439770000,10693.439770000,53468,10695.600000000,10837.400000000,143.960230000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
43,21,21,1,2,53,103,10693.439770000,21900.000000000,109500,21902.400000000,22189.400000000,289.400000000,287.000000000,COMPLETED,1051,224,226,,103,-1,-1
44,22,22,0,2,24,53,10810.777650000,10810.777650000,54054,10812.800000000,11048.600000000,237.822350000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
45,22,22,1,2,53,118,10810.777650000,20400.000000000,102000,20402.400000000,20674.600000000,274.600000000,272.200000000,COMPLETED,987,214,216,,118,-1,-1
46,23,23,0,2,26,53,11253.845410000,11253.845410000,56270,11256.000000000,11390.800000000,136.954590000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
47,23,23,1,2,53,79,11253.845410000,21900.000000000,109500,21902.800000000,22087.000000000,187.000000000,184.200000000,COMPLETED,784,89,93,,79,-1,-1
48,24,24,0,2,0,53,11258.482960000,11258.482960000,56293,11260.600000000,11402.200000000,143.717040000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
49,24,24,1,2,53,103,11258.482960000,22200.000000000,111000,22202.400000000,22494.800000000,294.800000000,292.400000000,COMPLETED,1049,245,247,,103,-1,-1
50,25,25,0,2,24,53,11270.816360000,11270.816360000,56355,11273.000000000,11509.200000000,238.383640000,236.200000000,COMPLETED,906,155,155,,53,-1,-1
51,25,25,1,2,53,17,11270.816360000,21900.000000000,109500,21903.200000000,22134.600000000,234.600000000,231.400000000,COMPLETED,871,174,180,,17,-1,-1
52,26,26,0,2,149,53,11272.334340000,11272.334340000,56362,11274.400000000,11411.000000000,138.665660000,136.600000000,COMPLETED,643,24,24,,53,-1,-1
53,26,26,1,2,53,45,11272.334340000,20700.000000000,103500,20703.200000000,20860.200000000,160.200000000,157.000000000,COMPLETED,642,95,101,,45,-1,-1
54,27,27,0,2,26,53,11272.512030000,11272.512030000,56363,11274.600000000,11409.400000000,136.887970000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
55,27,27,1,2,53,99,11272.512030000,19500.000000000,97500,19506.000000000,19796.400000000,296.400000000,290.400000000,COMPLETED,1002,314,334,,99,-1,-1
56,28,28,0,2,0,53,11271.149590000,11271.149590000,56356,11273.200000000,11414.800000000,143.650410000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
57,28,28,1,2,53,116,11271.149590000,19500.000000000,97500,19506.400000000,19792.200000000,292.200000000,285.800000000,COMPLETED,973,312,334,,116,-1,-1
58,29,29,0,2,49,53,11276.439820000,11276.439820000,56383,11278.600000000,11520.600000000,244.160180000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
59,29,29,1,2,53,110,11276.439820000,21900.000000000,109500,21903.600000000,22247.800000000,347.800000000,344.200000000,COMPLETED,1150,355,363,,110,-1,-1
60,30,30,0,2,95,53,11275.667460000,11275.667460000,56379,11277.800000000,11507.600000000,231.932540000,229.800000000,COMPLETED,842,187,187,,53,-1,-1
61,30,30,1,2,53,77,11275.667460000,21900.000000000,109500,21904.000000000,22082.000000000,182.000000000,178.000000000,COMPLETED,734,116,126,,77,-1,-1
62,31,31,0,2,57,53,11278.144480000,11278.144480000,56391,11280.200000000,11513.600000000,235.455520000,233.400000000,COMPLETED,849,190,190,,53,-1,-1
63,31,31,1,2,53,103,11278.144480000,21900.000000000,109500,21904.400000000,22201.400000000,301.400000000,297.000000000,COMPLETED,1053,280,292,,103,-1,-1
64,32,32,0,2,92,53,11276.773150000,11276.773150000,56384,11278.800000000,11420.600000000,143.826850000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
65,32,32,1,2,53,114,11276.773150000,21900.000000000,109500,21904.800000000,22178.000000000,278.000000000,273.200000000,COMPLETED,956,266,280,,114,-1,-1
66,33,33,0,2,49,53,11276.439830000,11276.439830000,56383,11279.000000000,11523.800000000,247.360170000,244.800000000,COMPLETED,917,179,181,,53,-1,-1
67,33,33,1,2,53,106,11276.439830000,22200.000000000,111000,22202.800000000,22510.600000000,310.600000000,307.800000000,COMPLETED,1091,272,276,,106,-1,-1
68,34,34,0,2,95,53,11284.639610000,11284.639610000,56424,11286.800000000,11503.800000000,219.160390000,217.000000000,COMPLETED,851,138,138,,53,-1,-1
69,34,34,1,2,53,47,11284.639610000,19500.000000000,97500,19506.800000000,19707.000000000,207.000000000,200.200000000,COMPLETED,700,237,261,,47,-1,-1
70,35,35,0,2,149,53,11290.334120000,11290.334120000,56452,11292.400000000,11428.200000000,137.865880000,135.800000000,COMPLETED,643,20,20,,53,-1,-1
71,35,35,1,2,53,99,11290.334120000,22200.000000000,111000,22203.200000000,22475.600000000,275.600000000,272.400000000,COMPLETED,998,228,234,,99,-1,-1
72,36,36,0,2,57,53,11285.587810000,11285.587810000,56428,11287.600000000,11510.800000000,225.212190000,223.200000000,COMPLETED,867,153,153,,53,-1,-1
73,36,36,1,2,53,46,11285.587810000,20700.000000000,103500,20703.600000000,20881.000000000,181.000000000,177.400000000,COMPLETED,690,141,149,,46,-1,-1
74,37,37,0,2,95,53,11291.000840000,11291.000840000,56456,11293.200000000,11522.200000000,231.199160000,229.000000000,COMPLETED,848,185,185,,53,-1,-1
75,37,37,1,2,53,101,11291.000840000,21900.000000000,109500,21905.200000000,22204.600000000,304.600000000,299.400000000,COMPLETED,1045,300,316,,101,-1,-1
76,38,38,0,2,92,53,11294.254490000,11294.254490000,56472,11296.400000000,11438.200000000,143.945510000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
77,38,38,1,2,53,18,11294.254490000,22200.000000000,111000,22203.600000000,22443.600000000,243.600000000,240.000000000,COMPLETED,882,198,206,,18,-1,-1
78,39,39,0,2,95,53,11295.774240000,11295.774240000,56479,11297.800000000,11517.800000000,222.025760000,220.000000000,COMPLETED,854,150,150,,53,-1,-1
79,39,39,1,2,53,101,11295.774240000,22200.000000000,111000,22204.000000000,22496.200000000,296.200000000,292.200000000,COMPLETED,1045,264,274,,101,-1,-1
80,40,40,0,2,49,53,11293.144440000,11293.144440000,56466,11295.200000000,11534.000000000,240.855560000,238.800000000,COMPLETED,921,153,153,,53,-1,-1
81,40,40,1,2,53,41,11293.144440000,20700.000000000,103500,20704.000000000,20943.200000000,243.200000000,239.200000000,COMPLETED,832,236,246,,41,-1,-1
82,41,41,0,2,57,53,11846.206600000,11846.206600000,59232,11848.400000000,12081.400000000,235.193400000,233.000000000,COMPLETED,849,188,188,,53,-1,-1
83,41,41,1,2,53,42,11846.206600000,21300.000000000,106500,21303.600000000,21548.800000000,248.800000000,245.200000000,COMPLETED,876,222,230,,42,-1,-1
84,42,42,0,2,24,53,11850.615530000,11850.615530000,59254,11852.800000000,12088.600000000,237.984470000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
85,42,42,1,2,53,73,11850.615530000,21600.000000000,108000,21602.400000000,21924.400000000,324.400000000,322.000000000,COMPLETED,1136,282,284,,73,-1,-1
86,43,43,0,2,26,53,11861.149620000,11861.149620000,59306,11863.200000000,11998.000000000,136.850380000,134.800000000,COMPLETED,596,46,46,,53,-1,-1
87,43,43,1,2,53,43,11861.149620000,21300.000000000,106500,21304.000000000,21556.200000000,256.200000000,252.200000000,COMPLETED,892,249,259,,43,-1,-1
88,44,44,0,2,0,53,11868.948900000,11868.948900000,59345,11871.000000000,12012.600000000,143.651100000,141.600000000,COMPLETED,610,58,58,,53,-1,-1
89,44,44,1,2,53,99,11868.948900000,19500.000000000,97500,19507.200000000,19798.800000000,298.800000000,291.600000000,COMPLETED,995,327,353,,99,-1,-1
90,45,45,0,2,57,53,11875.811150000,11875.811150000,59380,11878.000000000,12110.800000000,234.988850000,232.800000000,COMPLETED,852,192,192,,53,-1,-1
91,45,45,1,2,53,18,11875.811150000,22200.000000000,111000,22204.400000000,22450.800000000,250.800000000,246.400000000,COMPLETED,885,227,239,,18,-1,-1
92,46,46,0,2,24,53,11874.948810000,11874.948810000,59375,11877.000000000,12112.800000000,237.851190000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
93,46,46,1,2,53,118,11874.948810000,20400.000000000,102000,20402.800000000,20681.400000000,281.400000000,278.600000000,COMPLETED,992,249,253,,118,-1,-1
94,47,47,0,2,92,53,11874.587810000,11874.587810000,59373,11876.600000000,12018.400000000,143.812190000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
95,47,47,1,2,53,103,11874.587810000,21900.000000000,109500,21905.600000000,22220.800000000,320.800000000,315.200000000,COMPLETED,1052,356,374,,103,-1,-1
96,48,48,0,2,149,53,11881.103190000,11881.103190000,59406,11883.200000000,12020.800000000,139.696810000,137.600000000,COMPLETED,643,29,29,,53,-1,-1
97,48,48,1,2,53,108,11881.103190000,22500.000000000,112500,22502.000000000,22815.200000000,315.200000000,313.200000000,COMPLETED,1095,271,271,,108,-1,-1
98,49,49,0,2,49,53,11876.271150000,11876.271150000,59382,11878.400000000,12120.400000000,244.128850000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
99,49,49,1,2,53,85,11876.271150000,21300.000000000,106500,21304.400000000,21528.600000000,228.600000000,224.200000000,COMPLETED,836,197,209,,85,-1,-1
100,50,50,0,2,57,53,11879.921100000,11879.921100000,59400,11882.000000000,12114.400000000,234.478900000,232.400000000,COMPLETED,852,190,190,,53,-1,-1
101,50,50,1,2,53,44,11879.921100000,21300.000000000,106500,21304.800000000,21577.200000000,277.200000000,272.400000000,COMPLETED,937,273,287,,44,-1,-1
102,51,51,0,2,95,53,11884.334180000,11884.334180000,59422,11886.400000000,12106.000000000,221.665820000,219.600000000,COMPLETED,848,146,146,,53,-1,-1
103,51,51,1,2,53,101,11884.334180000,21900.000000000,109500,21906.000000000,22213.800000000,313.800000000,307.800000000,COMPLETED,1051,344,364,,101,-1,-1
104,52,52,0,2,92,53,11883.604490000,11883.604490000,59419,11885.800000000,12027.600000000,143.995510000,141.800000000,COMPLETED,655,30,30,,53,-1,-1
105,52,52,1,2,53,81,11883.604490000,22500.000000000,112500,22502.400000000,22693.400000000,193.400000000,191.000000000,COMPLETED,786,105,107,,81,-1,-1
106,53,53,0,2,95,53,11887.972960000,11887.972960000,59440,11890.000000000,12108.400000000,220.427040000,218.400000000,COMPLETED,851,145,145,,53,-1,-1
107,53,53,1,2,53,22,11887.972960000,22500.000000000,112500,22502.800000000,22678.600000000,178.600000000,175.800000000,COMPLETED,698,117,121,,22,-1,-1
108,54,54,0,2,49,53,11892.477820000,11892.477820000,59463,11894.600000000,12136.600000000,244.122180000,242.000000000,COMPLETED,917,165,165,,53,-1,-1
109,54,54,1,2,53,21,11892.477820000,22500.000000000,112500,22503.200000000,22670.600000000,170.600000000,167.400000000,COMPLETED,696,93,99,,21,-1,-1
110,55,55,0,2,24,53,11905.254500000,11905.254500000,59527,11907.400000000,12143.200000000,237.945500000,235.800000000,COMPLETED,906,153,153,,53,-1,-1
111,55,55,1,2,53,18,11905.254500000,22200.000000000,111000,22204.800000000,22453.600000000,253.600000000,248.800000000,COMPLETED,888,244,258,,18,-1,-1
