gate,status,evidence,notes
state_reconciled,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_git_state_audit.csv,G4IRSF5 generation/commit mismatch recorded.
paper_tables_reproduced,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_paper_table_reproduction_matrix.csv,"Includes THT, TH, speed, dispersed, dynamic/static, fault rows."
tth_gap_autopsy_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_bag_level_tth_delta.csv,Bag-level original/no-A* deltas generated.
quality_sweep_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_noastar_policy_quality_sweep.csv,Unsafe or incomplete variants rejected.
speed_sweep_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_speed_sweep_noastar.csv,Temporary speed map artifacts used.
dynamic_static_protocol_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_dynamic_static_results.csv,Protocol not mixed with static lower bound.
fault_bag_level_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_fault_bag_level_success.csv,Baggage success rate reported for mapped fault diagnostics.
java_baseline_attempts_recorded,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_java_runtime_attempts.csv,Full Java/CIE remains blocked/proxy-only if not completed.
apples_to_apples_v2_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_apples_to_apples_comparison_v2.csv,No unsupported winner claim allowed.
no_leakage_and_no_full_astar,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_noastar_policy_quality_sweep.csv; C:\PROGRAMING\czr005\outputs\tables\g4irsf6_speed_sweep_noastar.csv,Teacher/future schedule not used; full CIE/A* calls remain zero.
legacy_and_main_map_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_git_state_audit.csv,Legacy Java and real main map have no diff.
g4j_closed,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf6_apples_to_apples_comparison_v2.csv,No comparable non-inferior paper-main executable baseline; G4J remains closed.
