phase,case_id,size_segments,execution_status,gate_status,route_change_count,route_oscillation_count,blocker
G,G_c0,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c0,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
G,G_c1,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c1,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
G,G_c2,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c2,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
G,G_c3,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c3,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
G,G_c4,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c4,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
G,G_c5,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c5,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
G,G_c6,2048,NOT_RUN,PENDING,,,awaiting execution in frozen prefix order
G,G_c6,8192,NOT_RUN,PENDING,,,requires accepted prior tier and explicit 8192 authorization
