comparison_id,paper_protocol_main,extension_only,baseline_executable,baseline_level,same_input,same_metric,same_fault_setting,same_speed,same_time_horizon,same_runtime_responsibility,winner_allowed,winner,claim_text_allowed
paper_main_speed_1.5_noastar_vs_iotdrpa,True,False,False,parsed_original_project_output,True,True,True,True,True,False,False,,One or more same-protocol gates are false.
paper_main_speed_2.0_noastar_vs_iotdrpa,True,False,False,parsed_original_project_output,True,True,True,True,True,False,False,,One or more same-protocol gates are false.
paper_main_speed_2.5_noastar_vs_iotdrpa,True,False,False,parsed_original_project_output,True,True,True,True,True,False,False,,One or more same-protocol gates are false.
paper_main_speed_3.0_noastar_vs_iotdrpa,True,False,False,parsed_original_project_output,True,True,True,True,True,False,False,,One or more same-protocol gates are false.
high_flow_348824_extension,False,True,True,extension_runtime,False,True,True,True,False,True,False,,Extension-only rows cannot claim a paper-main winner.
static_astar_lower_bound_vs_paper,True,False,True,lower_bound_only,True,True,True,True,True,False,False,,One or more same-protocol gates are false.
dynamic_static_1.5_10,True,False,False,paper_reported_only,True,True,True,False,True,False,False,,One or more same-protocol gates are false.
dynamic_static_1.5_20,True,False,False,paper_reported_only,True,True,True,False,True,False,False,,One or more same-protocol gates are false.
dynamic_static_1.5_30,True,False,False,paper_reported_only,True,True,True,False,True,False,False,,One or more same-protocol gates are false.
fault_paper_fault_arc_1,True,False,False,mapped_edge_diagnostic,True,True,False,True,True,False,False,,One or more same-protocol gates are false.
fault_paper_fault_arc_2,True,False,False,mapped_edge_diagnostic,True,True,False,True,True,False,False,,One or more same-protocol gates are false.
fault_paper_fault_arc_3,True,False,False,mapped_edge_diagnostic,True,True,False,True,True,False,False,,One or more same-protocol gates are false.
