gate,status,evidence,notes
state_clean_recorded,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_git_state_audit.csv,Remote/worktree/legacy/map state recorded.
governance_rule_added,PASS,C:\PROGRAMING\czr005\docs\czr005_project_governance.md,THT denominator/source release rule added.
task_artifact_integrity_pass,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_task_artifact_integrity.csv,Formal source queue artifact protected by manifest.
denominator_audit_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_tth_denominator_comparison.csv,Three denominators computed for main variants and original project text.
original_project_denominator_inferred,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_original_project_denominator_inference.csv,release_denominator_supported
candidate_v2_main_tth_better_same_denominator,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_tth_denominator_comparison.csv,Uses java_release_time_tth denominator only.
candidate_v2_regression_recorded,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_candidate_v2_regression_matrix.csv,"repeat, speed, fault, dynamic/static, high-flow subset/context recorded."
candidate_v2_no_unhidden_material_regression,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_candidate_v2_regression_matrix.csv,Fault diagnostics are separated from no-fault paper-main THT claim.
open_end_semantics_audit_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_reservation_boundary_evidence.csv,engineering_reasonable_but_not_java_proven
policy_bundle_frozen,PASS,C:\PROGRAMING\czr005\artifacts\policies\g4irsf8_noastar_v2_policy_bundle.json,engineering_candidate_pending_open_end_java_proof
claim_boundary_clear,PASS,C:\PROGRAMING\czr005\outputs\reports\g4irsf8_claim_boundary_report.md,G4J remains closed.
legacy_and_real_map_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf8_git_state_audit.csv,No protected file edits.
g4j_closed,PASS,C:\PROGRAMING\czr005\outputs\reports\g4irsf8_claim_boundary_report.md,Even a v2 freeze is not direct G4J.
