paper_table_or_figure,metric,paper_value,original_project_parsed_value,noastar_value,delta_noastar_vs_paper,delta_original_vs_paper,same_input,same_metric,same_runtime_family,claim_allowed,notes
Table 5.2 speed sweep,THT min at 1.5 m/s,5.1,5.1,5.08888889,-0.01111111,0,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT mean at 1.5 m/s,6.44,6.43667006,6.20058693,-0.23941307,-0.00332994,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT max at 1.5 m/s,9.68,9.68333333,11.02778004,1.34778004,0.00333333,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT min at 2.0 m/s,3.87,3.86666667,3.86666667,-0.00333333,-0.00333333,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT mean at 2.0 m/s,4.93,4.93678933,4.81150548,-0.11849452,0.00678933,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT max at 2.0 m/s,7.37,7.36666667,8.83537835,1.46537835,-0.00333333,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT min at 2.5 m/s,3.13,3.13333333,3.13333333,0.00333333,0.00333333,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT mean at 2.5 m/s,3.96,3.96712271,3.97610989,0.01610989,0.00712271,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT max at 2.5 m/s,5.98,5.98333333,7.79666907,1.81666907,0.00333333,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT min at 3.0 m/s,2.63,2.63333333,2.63888889,0.00888889,0.00333333,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT mean at 3.0 m/s,3.37,3.37295306,3.41830918,0.04830918,0.00295306,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.2 speed sweep,THT max at 3.0 m/s,5.05,5.05,7.13889147,2.08889147,0,True,True,False,False,"No-A* replay uses same processed original-day input and THT grouping, but it is not the paper HCA*/Java/CIE runtime family."
Table 5.3 baseline comparison,dispersed heuristic mean THT at 2.5 m/s,4.43,project xlsx artifact available; not executable rerun,3.97610989,-0.45389011,,False,True,False,False,Paper dispersed heuristic is reported baseline; no executable dispersed baseline rerun is available.
Table 5.3 primary method,IoT-DRPA/HCA* mean THT at 2.5 m/s,3.96,3.96712271,3.97610989,0.01610989,0.00712271,True,True,False,False,"Comparable metric and input, but runtime family differs; no direct victory claim."
No-A* quality sweep,best safe no-A* variant mean THT,3.96,3.96712271,3.97386764,0.01386764,0.00712271,True,True,False,False,Best safe diagnostic variant is cycle_guard_light; claim boundary remains closed.
TH / throughput,daily baggage throughput,28506,28506,28506,0,0,True,True,False,False,Throughput is input-day completion count here; paper does not make this the decisive no-A* runtime comparison.
Table 5.4 dynamic/static,1.5 m/s 10% deviation dynamic/static mean THT,dynamic=6.45; static=6.59,blocked_full_java_runtime,6.81931452,0.36931452,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,1.5 m/s 20% deviation dynamic/static mean THT,dynamic=6.67; static=6.86,blocked_full_java_runtime,7.59410605,0.92410605,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,1.5 m/s 30% deviation dynamic/static mean THT,dynamic=6.91; static=7.11,blocked_full_java_runtime,8.60226294,1.69226294,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,2.0 m/s 10% deviation dynamic/static mean THT,dynamic=4.92; static=5.07,blocked_full_java_runtime,5.27341548,0.35341548,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,2.0 m/s 20% deviation dynamic/static mean THT,dynamic=5.16; static=5.36,blocked_full_java_runtime,5.85366978,0.69366978,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,2.0 m/s 30% deviation dynamic/static mean THT,dynamic=5.42; static=5.62,blocked_full_java_runtime,6.59780501,1.17780501,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,2.5 m/s 10% deviation dynamic/static mean THT,dynamic=3.99; static=4.19,blocked_full_java_runtime,4.3461841,0.3561841,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,2.5 m/s 20% deviation dynamic/static mean THT,dynamic=4.25; static=4.46,blocked_full_java_runtime,4.81150548,0.56150548,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,2.5 m/s 30% deviation dynamic/static mean THT,dynamic=4.49; static=4.72,blocked_full_java_runtime,5.4059868,0.9159868,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,3.0 m/s 10% deviation dynamic/static mean THT,dynamic=3.39; static=3.56,blocked_full_java_runtime,3.72846719,0.33846719,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,3.0 m/s 20% deviation dynamic/static mean THT,dynamic=3.51; static=3.72,blocked_full_java_runtime,4.11589996,0.60589996,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.4 dynamic/static,3.0 m/s 30% deviation dynamic/static mean THT,dynamic=3.64; static=3.87,blocked_full_java_runtime,4.61216745,0.97216745,,True,True,False,False,No-A* effective-speed replay is diagnostic only; it is not the thesis dynamic IoT-DRPA vs static LRA* deviation simulator.
Table 5.5 fault/interruption,paper_fault_arc_1 baggage success,1,paper reported only,0.88774293,-0.11225707,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_2 baggage success,0.88,paper reported only,0.88798849,0.00798849,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_3 baggage success,1,paper reported only,0.88777801,-0.11222199,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_4 baggage success,0.95,paper reported only,0.82856241,-0.12143759,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_5 baggage success,0.97,paper reported only,0.82856241,-0.14143759,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_6 baggage success,0.96,paper reported only,0.82859749,-0.13140251,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_7 baggage success,1,paper reported only,1,0,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arc_8 baggage success,0.99,paper reported only,1,0.01,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_1_7 baggage success,1,paper reported only,0.88774293,-0.11225707,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_2_4 baggage success,0.76,paper reported only,0.7165509,-0.0434491,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_3_5 baggage success,0.66,paper reported only,0.71634042,0.05634042,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_4_5 baggage success,0,paper reported only,0.65712482,0.65712482,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_5_7 baggage success,0.48,paper reported only,0.82856241,0.34856241,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_2_4_6 baggage success,0.26,paper reported only,0.54514839,0.28514839,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_3_5_8 baggage success,0.05,paper reported only,0.71634042,0.66634042,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
Table 5.5 fault/interruption,paper_fault_arcs_4_6_7 baggage success,0.26,paper reported only,0.6571599,0.3971599,,True,True,False,False,Paper metric is baggage success under thesis interruption protocol; no-A* mapped-edge diagnostic is not paper IoT-DRPA.
