gate,status,evidence,notes
state_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf10_git_state_audit.csv,Git/protected file state recorded.
v2_safe_freeze_revalidated,PASS,C:\PROGRAMING\czr005\artifacts\policies\g4irsf9_noastar_v2_safe_policy_bundle.json,v2-safe bundle remains the conservative candidate.
paper_protocol_repeats_stable,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf10_v2_safe_paper_protocol_repeat.csv,"paper main 2.5 repeat x5 stable, 0 conflict, 0 full A*."
paper_protocol_matrix_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf10_v2_safe_paper_protocol_repeat.csv,repeat x5 + speed 4 + dynamic/static 12 + fault 16.
high_flow_core_matrix_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf10_v2_safe_high_flow_matrix.csv,1x/2x/4x/8x no-fault scale ladder complete.
high_flow_optional_boundaries_recorded,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf10_v2_safe_high_flow_matrix.csv,"16x, 32x smoke, and rolling rows either executed or explicitly recorded as blocker/not-run."
hard_case_dataset_generated,PASS,C:\PROGRAMING\czr005\artifacts\datasets\g4irsf10_hard_case_manifest.json,"hard cases seen=5731536, written=50000"
v3_training_protocol_generated,PASS,C:\PROGRAMING\czr005\artifacts\datasets\g4irsf10_v3_training_schema.json,Lightweight supervised/ranking protocol only.
no_leakage_pass,PASS,C:\PROGRAMING\czr005\artifacts\datasets\g4irsf10_v3_training_schema.json,Forbidden teacher/future/post-hoc inputs excluded.
fault_branch_plan_defined,PASS,C:\PROGRAMING\czr005\outputs\reports\g4irsf10_fault_policy_branch_plan.md,Fault branch separate from v2-safe paper claim.
legacy_map_inputdata_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf10_git_state_audit.csv,Protected files unchanged.
g4j_closed,PASS,C:\PROGRAMING\czr005\outputs\reports\g4irsf10_plain_language_summary.md,G4J remains closed.
