feature_index,feature_name,training_semantics,training_source,s1_adapter_source,s1_resolution,s1_default_value,s2_adapter_source,s2_resolution,s2_default_value,scale_denominator,runtime_availability,consumed_model_input,ood_note
0,candidate_shortest_time_to_goal_scaled,candidate-to-goal canonical heuristic time,G4D candidate_shortest_time_to_goal,candidate_records[].features.static_potential,EXACT_LEGAL_STATIC,,candidate_records[].features.static_potential,EXACT_LEGAL_STATIC,,100,static,true,Same frozen-map heuristic quantity; goal diagonal is normalized to zero.
1,candidate_travel_time_scaled,current directed edge travel time,G4D candidate_travel_time,candidate_records[].features.travel_time,EXACT_LEGAL_STATIC,,candidate_records[].features.travel_time,EXACT_LEGAL_STATIC,,50,static,true,Trace value is checked against the frozen directed map edge.
2,candidate_service_time_scaled,candidate node service time,G4D candidate_service_time,canonical_map.nodes[candidate].service_time,EXACT_LEGAL_STATIC,,canonical_map.nodes[candidate].service_time,EXACT_LEGAL_STATIC,,10,static,true,Derived only from the frozen map.
3,candidate_node_type_scaled,candidate node type code,G4D candidate_node_type,canonical_map.nodes[candidate].node_type,EXACT_LEGAL_STATIC,,canonical_map.nodes[candidate].node_type,EXACT_LEGAL_STATIC,,10,static,true,Derived only from the frozen map.
4,candidate_faulted,fault status of the candidate edge at decision time,G4D candidate_fault_status,candidate_records[].features.advertised_fault,LEGAL_EVENT_OBSERVATION,,candidate_records[].features.advertised_fault,LEGAL_EVENT_OBSERVATION,,1,decision_time,true,"Uses the bounded local advertised belief, which can be stale versus physical truth."
5,candidate_is_goal,candidate equals immutable goal,candidate_next_node == goal_node,candidate_records[].next_node == goal_node,EXACT_LEGAL_STATIC,,candidate_records[].next_node == goal_node,EXACT_LEGAL_STATIC,,1,static,true,No route suffix or future state is consulted.
6,time_slack_scaled,task deadline/std minus decision time,G4D time_slack,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,10000,missing,true,The committed event trace has no audited deadline/std field.
7,current_node_scaled,absolute current node identifier,G4D current_node,current_node,EXACT_LEGAL_EVENT_STATE,,explicit_default,EXPLICIT_DEFAULT_ID_ABLATION,0.0,100,decision_time,true,S1 retains the legacy coordinate-like ID feature; S2 removes it.
8,goal_node_scaled,absolute goal node identifier,G4D goal_node,goal_node,EXACT_LEGAL_STATIC,,explicit_default,EXPLICIT_DEFAULT_ID_ABLATION,0.0,100,static,true,S1 retains the legacy coordinate-like ID feature; S2 removes it.
9,out_degree_scaled,out-degree of the current decision node,len(G4D candidate_next_nodes),len(candidate_next_nodes),EXACT_LEGAL_STATIC,,len(candidate_next_nodes),EXACT_LEGAL_STATIC,,10,static,true,Candidate completeness is validated against canonical adjacency.
10,is_branch_node,whether the current node has multiple candidates,G4D is_branch_node,len(candidate_next_nodes) > 1,EXACT_LEGAL_STATIC,,len(candidate_next_nodes) > 1,EXACT_LEGAL_STATIC,,1,static,true,Deterministic derivation from canonical outgoing adjacency.
11,local_node_pressure_scaled,reservation-overlap pressure at current node/time window,G4D local_node_time_window_pressure,explicit_default,EXPLICIT_DEFAULT_NON_EQUIVALENT,0.0,explicit_default,EXPLICIT_DEFAULT_NON_EQUIVALENT,0.0,10,missing_equivalent_semantics,true,local_snapshot.junction_queue_length is not a reservation-overlap count.
12,candidate_node_pressure_scaled,reservation-overlap pressure at candidate arrival window,G4D local_queue_or_occupancy_summary.candidate_node_pressure,explicit_default,EXPLICIT_DEFAULT_NON_EQUIVALENT,0.0,explicit_default,EXPLICIT_DEFAULT_NON_EQUIVALENT,0.0,10,missing_equivalent_semantics,true,target queue/incoming counts are legal but not the legacy overlap quantity.
13,candidate_downstream_node_pressure_2hop_scaled,two-hop recursive reservation-overlap pressure,G4D enhanced candidate_downstream_node_pressure_2hop,explicit_default,EXPLICIT_DEFAULT_NON_EQUIVALENT,0.0,explicit_default,EXPLICIT_DEFAULT_NON_EQUIVALENT,0.0,20,missing_equivalent_semantics,true,"two_hop_queue_pressure is a bounded queue summary, not time-window overlap recursion."
14,candidate_downstream_node_pressure_3hop_scaled,three-hop recursive reservation-overlap pressure,G4D enhanced candidate_downstream_node_pressure_3hop,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,30,missing,true,The event contract is bounded to two hops and exposes no equivalent three-hop field.
15,candidate_static_remaining_hops_to_goal_scaled,directed static hop distance from candidate to goal,G4D directed BFS hop distance,canonical_map directed adjacency BFS,EXACT_LEGAL_STATIC_RECONSTRUCTION,,canonical_map directed adjacency BFS,EXACT_LEGAL_STATIC_RECONSTRUCTION,,20,static,true,"Uses 999 for unreachable, matching the frozen training builder."
16,candidate_static_second_best_gap_scaled,candidate one-step static cost minus best candidate cost,G4D (travel + heuristic) gap,(travel_time + static_potential) - minimum candidate value,EXACT_LEGAL_STATIC_RECONSTRUCTION,,(travel_time + static_potential) - minimum candidate value,EXACT_LEGAL_STATIC_RECONSTRUCTION,,50,static,true,Reconstructed only within the audited candidate set.
17,candidate_bottleneck_score_scaled,static candidate bottleneck plus observed candidate-edge fault term,"G4D max(0, 2-candidate_out_degree) + 5 if faulted",canonical candidate out-degree + advertised_fault,LEGAL_LOCAL_RECONSTRUCTION,,canonical candidate out-degree + advertised_fault,LEGAL_LOCAL_RECONSTRUCTION,,10,static_and_decision_time,true,Formula is preserved but the fault term follows local advertised belief.
18,candidate_goal_direction_score_scaled,current-to-goal heuristic minus candidate-to-goal heuristic,G4D candidate_goal_direction_score,canonical current potential - candidate static_potential,EXACT_LEGAL_STATIC_RECONSTRUCTION,,canonical current potential - candidate static_potential,EXACT_LEGAL_STATIC_RECONSTRUCTION,,100,static,true,No planned path is required.
19,candidate_historical_risk_from_training_only_scaled,candidate membership in a training-only failure-risk lookup,G4D candidate_historical_risk_from_training_only,explicit_default,EXPLICIT_DEFAULT_TRAINING_ONLY,0.0,explicit_default,EXPLICIT_DEFAULT_TRAINING_ONLY,0.0,1,training_only_unavailable,true,The historical lookup and G4E hardcase rules are quarantined from runtime input.
20,source_retry_pressure_scaled,source retry attempt pressure,G4D source_retry_pressure,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,20,missing,true,The committed move-decision trace exposes no audited source retry counter.
21,unfinished_task_queue_size_near_current_source_scaled,unfinished source-neighborhood task queue size,G4D unfinished_task_queue_size_near_current_source,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,explicit_default,EXPLICIT_DEFAULT_MISSING,0.0,20,missing,true,No equivalent source-neighborhood queue field exists in the event contract.
