check_id,status,observed,expected,evidence,control_contract,claim_boundary
protected_map_identity,PASS,nodes=54;edges=69;raw_sha256=9e8c5a236869336cf4c05a09a8ce0554f440eb45a6896972fc54116bcf78bbb4,nodes=54;edges=69;frozen raw SHA-256,data/processed/maps/map2.json,All graph-dependent validation uses this real map.,"No generated, copied, enlarged, or hand-built graph is evidence."
protected_task_identity,PASS,segments=43603;raw_bags=28506,segments=43603;raw_bags=28506,data/processed/tasks/inputdata.jsonl,Task and raw-bag denominators stay frozen.,No task rewrite/resample is allowed in G4IRSF13-C.
storage_split_cardinality,PASS,direct=13409;storage_in=15097;storage_out=15097,direct=13409;storage_in=15097;storage_out=15097,data/processed/tasks/inputdata.jsonl,A split raw bag owns exactly one storage-in and one storage-out leg.,Segment count is not raw-bag count.
storage_leg_pairing_and_order,PASS,paired_split_bags=15097;ordered=True,paired_split_bags=15097;storage_in_before_storage_out=True,data/processed/tasks/inputdata.jsonl,"Pair by task/pallet/original-entry identity, never by position alone.",Storage legs remain separate runtime segments.
direct_bag_cardinality,PASS,direct_raw_bags=13409,direct_raw_bags=13409,data/processed/tasks/inputdata.jsonl,A direct raw bag completes when its sole segment completes.,Do not synthesize an EBS leg for a direct bag.
storage_in_goal_47,PASS,all_goal47=True;node_type=2;outdegree=0,all_goal47=True;node_type=2;outdegree=0,thesis/legacy split plus real map2 node 47,"Arrival at node 47 completes only the storage-in segment, not the raw bag.",The discontinuity to source 52 represents the legacy EBS handoff; no hidden map edge is inferred.
storage_out_source_52,PASS,all_start52=True;node_type=1;indegree=0;outdegree=2,all_start52=True;node_type=1;indegree=0;outdegree=2,legacy Main.ReadTaskList plus real map2 node 52,Storage-out enters the ready lifecycle at real source/EBS node 52.,Source 52 is not a shortcut or a fallback route.
storage_out_release_std_minus_2700,PASS,rows=15097;all_exact=True,rows=15097;pass_time=STD-2700 exactly,legacy Main.ReadTaskList and protected task rows,Scheduled EBS dwell is represented once between original entry and storage-out release.,Primary original-entry TTH includes this elapsed time once; legacy segment-sum transport THT excludes the inter-leg dwell. The two denominators must stay separately labelled.
goal_nodes_are_real_terminals,PASS,"used_goals=[47, 48, 49, 50];map_goals=[47, 48, 49, 50, 51]",every task goal is a real map end node with outdegree=0,data/processed/maps/map2.json,A segment emits one goal-completion transition on terminal arrival.,No successor route may be stored or selected after completion.
raw_bag_completion_contract,PASS,direct=13409;split=15097;total=28506,direct=13409;split=15097;total=28506,protected task identity/lifecycle audit,A raw bag is complete iff its direct segment completes or both storage legs complete; storage-in completion alone is partial.,Evaluation must fail closed on a missing or duplicated leg.
