evidence_id,path,exists,sha256,row_count,role
g4irsf10_attempts,outputs/tables/g4irsf10_java_baseline_attempts.csv,True,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,8,historical_java_attempts
g4irsf5_baselines,outputs/tables/g4irsf5_baseline_protocol_results.csv,True,afbcaf6e8c04edc49ed49dda813db99bf627810446a7b1efd5f1474736c00a2f,5,paper_and_proxy_boundary
java_window_performance,outputs/tables/java_cpp_legacy_window_performance.csv,True,74ac7b2da65d1447900e3dadf46fff173932f2ea4f10eea78d689293a1237d11,2,real_java_first_n_window
java_scheduled_performance,outputs/tables/java_cpp_legacy_scheduled_fault_window_performance.csv,True,70e88a6ba2a8e194c40bb20c1b3bcd3c9ef68e047f00d48951017af4d28fc925,2,real_java_fault_window
java_probability_performance,outputs/tables/java_cpp_legacy_probability_extreme_window_performance.csv,True,3ea8e3228a69ae95bb5f058600bb661694a2b5d7088786d6090f4284ccb383cc,2,real_java_probability_extreme_window
java_acceptance_summary,outputs/tables/java_cpp_legacy_acceptance_summary.csv,True,b6538cad679292b09141d2d0bc2785ebacba32a8586ca86beb4b81b46e9f204c,4,bounded_java_cpp_acceptance
source_queue,artifacts/tasks/g4irsf7/java_source_queue_one_per_epoch.jsonl,True,abb03e6d6d46031bfb653fece7ade8a94d58a54e8142c53448704f800ec5d386,43603,java_release_semantics_trace
source_queue_evidence,outputs/tables/g4irsf7_java_source_queue_evidence.csv,True,13add0a296f66c0b617d18e49f0ddde9fb04266de4465ba8d64a613c10a3ef0b,7,legacy_source_semantics_audit
legacy_main,legacy/jichang_origin_readonly/src/RUN/Main.java,True,af7ba8f8224a480f61e4d4b010d0c6fcf5e8798cccfdf6f298d786ac053bf5af,,read_only_gui_lifecycle
legacy_tasks,legacy/jichang_origin_readonly/src/App/Tasks.java,True,dd4505e495fd3c0fa737923dca83c9d404fc3b1e3a7ce979e7dd384a57d0948b,,read_only_release_lifecycle
legacy_scheduler,legacy/jichang_origin_readonly/src/App/ICS_PathFinding.java,True,a367fd8e79aba7b3d23b71fc9b4d01f76dd67f291f008401d676ffcbcf53d52a,,read_only_cie_scheduler
external_harness,benchmarks/java/LegacyIcsNoFaultWindowBenchmark.java,True,d2728ce5d1d90e5c3ede866818ec1a4b53dbd5f79ecf5fe60efde4651ccc34d7,,non_gui_java_wrapper
external_runner,scripts/eval/run_java_cpp_legacy_window_performance.py,True,bc19fbdc70b1c2c3e826fa6831bd9e69bbada5a92e96cac4166284891cf64347,,orchestration_source
full_run_manifest,outputs/reports/g4irsf11_java_cie_full_run_manifest.json,False,,,optional_future_full_java_acceptance
full_lifecycle_trace,outputs/tables/g4irsf11_java_cie_full_lifecycle_trace.csv,False,,,optional_future_epoch_state_trace
