criterion,status,observed,required,evidence
protected_legacy_map_input_clean,PASS,clean,no worktree or baseline diff under legacy/map/inputdata,git status --porcelain=v1 --untracked-files=all -- legacy data/processed/maps/map2.json data/processed/tasks/inputdata.jsonl | git diff --name-only 3ae9092ed0cfa0d5d75cfde1c35ae53c61a25d64..HEAD -- legacy data/processed/maps/map2.json data/processed/tasks/inputdata.jsonl
legacy_java_lifecycle_identified,PASS,"{""harness_imports_legacy_scheduler"": true, ""harness_is_non_gui"": true, ""harness_records_route_state"": true, ""harness_runs_epoch_loop"": true, ""main_calls_generate_tasks"": true, ""main_calls_ics_path_finding"": true, ""main_gui_coupled"": true, ""scheduler_has_saved_routes"": true, ""scheduler_has_unfinished_retry"": true, ""scheduler_rebuilds_constrains"": true, ""tasks_one_head_per_source_epoch"": true}",GUI boundary plus Tasks.generate_tasks and ICS_PathFinding lifecycle present,"legacy RUN/Main.java, App/Tasks.java, App/ICS_PathFinding.java"
external_non_gui_java_cie_wrapper,PASS,true,external Java class directly invokes read-only Tasks and ICS_PathFinding without showmap,benchmarks/java/LegacyIcsNoFaultWindowBenchmark.java
java_source_queue_trace_complete,PASS,43603,43603,artifacts/tasks/g4irsf7/java_source_queue_one_per_epoch.jsonl
first_n_epoch_real_java_cie_evidence,PASS,3 real Java windows; max generated=64,at least one non-GUI external Java ICS_PathFinding first-N run,outputs/tables/java_cpp_legacy_*_window_performance.csv
first_n_java_source_saved_routes_constrains_trace,FAIL,source release trace exists; Java windows persist route/summary snapshots but not per-epoch constrains deltas,"first-N per-epoch source queue, saved_routes before/after, constrains before/after",g4irsf7 source queue artifact + LegacyIcsNoFaultWindowBenchmark outputs
full_java_cie_scope,FAIL,full candidates=0; bounded Java windows=3,">=43603 generated, >=28506 completed, active=0, unfinished=0",historical attempts and Java performance tables
full_java_source_saved_routes_constrains_trace,FAIL,no accepted per-epoch full-run saved_routes/constrains delta artifact,source queue plus saved_routes/constrains before/after for first N and full run,"existing Java window outputs record routes/summary, not constraint deltas"
full_java_exact_command_returncode_manifest,FAIL,missing,"exact javac/java or Java-orchestrating command, return code 0, hashes, full-scope counts",C:\Users\38908\.conda\envs\czr005\python.exe C:\PROGRAMING\czr005\scripts\eval\run_java_cpp_legacy_window_performance.py --start-epoch 8260 --max-epochs 90000 --max-new-tasks 0 --repeats 1 --java-warmup-repeats 0 --cpp-warmup-repeats 0 --cpp-python-path C:\PROGRAMING\czr005\build_vs\python\Release
python_cpp_proxy_excluded_from_java_identity,PASS,all cpp_pybind/static_astar/noastar rows are classified non-Java or lower-bound,no Python/C++ proxy accepted as Java,attempt classification audit
accepted_headless_java_cie_full_baseline,FAIL,false,"all full-scope, identity, command, trace, and protected-file checks PASS",aggregate fail-closed gate
g4j_closed,PASS,CLOSED,CLOSED,governance: G4J requires a separate accepted Java/CIE or paper-protocol boundary
