gate,status,evidence,notes
tht_formula_audit_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_tht_formula_crosscheck.csv,Original project parsed mean reproduced.
source_retry_tail_explained,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_source_retry_tail_cases.csv,Source concentration and counterfactual help columns generated.
release_variants_evaluated,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_release_semantics_variant_results.csv,Java epoch/source queue variants evaluated.
reservation_variants_evaluated,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_reservation_semantics_variant_results.csv,C++ reservation semantics hooks evaluated without changing baseline default.
route_quality_strict_validation,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_route_quality_balanced_validation.csv,"Repeat, speed, fault, high-flow subset recorded."
engineering_combination_tested,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_engineering_combination_results.csv,Best=source_queue_plus_open_end.
regression_matrix_complete,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_regression_matrix.csv,"Speed, 16 fault cases, 12 dynamic/static diagnostics."
regression_no_material_regression,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_regression_matrix.csv,Fault cases compare against G4IRSF6 official bag success; speed/dynamic require full safety.
java_minimal_runner_recorded,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_java_minimal_runner_attempts.csv,Java blocker retained; source-release evidence extracted.
safety_guardrails_retained,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_engineering_combination_results.csv,0 failure / 0 conflict / 0 full A* required.
legacy_and_real_map_clean,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_git_state_audit.csv,No legacy Java or real main map diff.
g4j_closed,PASS,C:\PROGRAMING\czr005\outputs\tables\g4irsf7_promotion_gate.csv,Only G4IRSF7-B/no-A* v2 engineering candidate may be discussed.
