sample_id,source_failure_sample_id,scenario,context,task_id,segment_id,learner_current_node,goal_node,candidate_next_nodes,relabel_status,teacher_next_node,label_type,relabel_route_path,teacher_query_scope
g4c_relabel_learner_state_000000,g4a_move_000399,legacy_first32,no_fault,20,20:storage_in,17,47,[18],cie_astar_relabelled,18,MOVE_TO_NEXT_CIE,"[17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000001,g4a_move_000409,legacy_first32,no_fault,21,21:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000002,g4a_move_000534,legacy_offset32_static16,static_fault,36,36:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000003,g4a_move_000605,legacy_offset32_static16,static_fault,45,45:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000004,g4a_move_000725,legacy_offset64_merge32,merge_window,75,75:storage_in,17,47,[18],cie_astar_relabelled,18,MOVE_TO_NEXT_CIE,"[17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000005,g4a_move_000735,legacy_offset64_merge32,merge_window,76,76:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000006,g4a_move_000775,legacy_offset64_merge32,merge_window,81,81:storage_in,18,47,[22],cie_astar_relabelled,22,MOVE_TO_NEXT_CIE,"[18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000007,g4a_move_000853,legacy_offset64_merge32,merge_window,90,90:storage_in,12,47,[13],cie_astar_relabelled,13,MOVE_TO_NEXT_CIE,"[12, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000008,g4a_move_000855,legacy_offset64_merge32,merge_window,90,90:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000009,g4a_move_001004,legacy_offset64_repair32,repair_window,75,75:storage_in,17,47,[18],cie_astar_relabelled,18,MOVE_TO_NEXT_CIE,"[17, 18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000010,g4a_move_001014,legacy_offset64_repair32,repair_window,76,76:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000011,g4a_move_001054,legacy_offset64_repair32,repair_window,81,81:storage_in,18,47,[22],cie_astar_relabelled,22,MOVE_TO_NEXT_CIE,"[18, 22, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000012,g4a_move_001132,legacy_offset64_repair32,repair_window,90,90:storage_in,12,47,[13],cie_astar_relabelled,13,MOVE_TO_NEXT_CIE,"[12, 13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
g4c_relabel_learner_state_000013,g4a_move_001134,legacy_offset64_repair32,repair_window,90,90:storage_in,13,47,[23],cie_astar_relabelled,23,MOVE_TO_NEXT_CIE,"[13, 23, 24, 27, 28, 47]",verified_cie_astar_node_windows_active_faults_no_edge_capacity
