artifact,evidence_domain,observed_status,g4irsf13_authoritative_status,freshness,file_sha256,rationale
outputs/reports/g4irsf12_resource_semantics_audit.md,resource_semantics,STATIC_EVIDENCE_COMPLETE_RUNTIME_AB_NOT_EXECUTED,R3_EXECUTED_IN_F1_F2,SUPERSEDED_STATUS_RETAINED_AS_HISTORY,3f7a827c530b4756cded20827a385eccae6745f9aab51fc35646e2ad5196c945,The static report predates the sealed R3 full executions.
outputs/reports/g4irsf12_bounded_local_pibt_design.md,bounded_local_pibt,DESIGN_ONLY_RUNTIME_METRICS_NOT_CLAIMED,P2_FULL_AND_P0_CENSORED_CONTROL_EXECUTED,SUPERSEDED_STATUS_RETAINED_AS_HISTORY,8709713f8f4a170e262864e92179fab56d92863a8fd589098bce0a1d2d9fb934,The design report predates P2 full runs and the P0 negative control.
outputs/reports/g4irsf12_v3_training_status.json,v3_status,ALL_PRETRAINING_GATES_MISSING,TRAINING_STILL_NOT_RUN_BUT_PREREQUISITE_STATUS_PARTLY_STALE,PARTIALLY_SUPERSEDED,8d1a036a5f40edff7b9f7973c67173e86f6ca961c88b6cd04cc9dae4c3eca2af,The no-model conclusion remains current; R3/P2/8192 evidence is no longer missing.
artifacts/policies/g4irsf12_original_scale_candidate_bundle.json,candidate_bundle,PRE_DENOMINATOR_TARGETS_AND_GATES,EXECUTION_PROVENANCE_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,d886127f1a04def63e1bab54751385f088e68598500863c61c14a35368bd6756,Execution hashes remain sealed; G4IRSF12 reconciliation supersedes targets.
outputs/tables/g4irsf12_original_scale_full_ab.csv,full_execution_ledger,SEALED_EXECUTION_WITH_PRE_RECONCILIATION_GATES,EXECUTION_COUNTERS_AND_PROVENANCE_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,0263e022a32936423023013d6eaaa2e3140e44757280ef84c67cf91b59986f0c,Rows stay immutable; corrected comparisons are append-only.
artifacts/policies/g4irsf12_denominator_reconciliation.json,denominator_reconciliation,VERIFIED_DENOMINATOR_MISMATCH,AUTHORITATIVE_G4IRSF13_INPUT,CURRENT,618c040a5b5bd13ce81c502832575a7ea52bd8b82998ce481ffe79da9b8de4e6,This is the sole corrected comparator source inherited by G4IRSF13.
outputs/reports/g4irsf12_original_entry_denominator_report.md,original_entry_denominator_report,PRE_APPEND_ONLY_RECONCILIATION_TARGET_INTERPRETATION,HISTORICAL_CONTEXT_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,67327653fb11d5faed2eba33763235a50c3f638fdc96ae9d523bbcb86acad280,The append-only denominator reconciliation is newer and authoritative.
artifacts/configs/g4irsf12_reproducible_harness_manifest.json,reproducible_harness_manifest,PRE_RECONCILIATION_TARGET_BINDING,HARNESS_PROTOCOL_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,32775aa595efd0488b42b50d8f2576aa2df8f904e6949c9d4bcefa11a2b39c06,Runtime protocol remains useful; old comparator bindings do not.
outputs/reports/g4irsf12_original_scale_full_ab.md,original_scale_report,PRE_RECONCILIATION_GATE_NARRATIVE,SEALED_EXECUTION_CONTEXT_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,dd11b066586c245aa0ececa53718d6defb1391e829d9578bbb4f495097599f15,The execution rows are sealed; the displayed targets are obsolete.
outputs/reports/g4irsf12_promotion_gate.md,promotion_gate_report,PRE_RECONCILIATION_GATE_NARRATIVE,HISTORICAL_GATE_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,b7e4ae1b60a7d821d9eb831656434987d4f83af4c48e23ffb9b2488b5d52aa14,G4IRSF13 recomputes promotion only from corrected raw-entry controls.
outputs/reports/g4irsf12_plain_language_summary_zh.md,plain_language_summary,PRE_RECONCILIATION_PERFORMANCE_SUMMARY,HISTORICAL_CONTEXT_ONLY,PERFORMANCE_FIELDS_SUPERSEDED,8368ddfad2b13cdf1e28c848a916a189ba16923ee436a1c2abf867ebddc61ef3,The later denominator reconciliation controls numerical claims.
outputs/reports/g4irsf12_prior_evidence_reconciliation.md,prior_evidence_reconciliation,PRE_FULL_RUNTIME_STATUS_RECONCILIATION,HISTORICAL_EVIDENCE_LAYER,PARTIALLY_SUPERSEDED,0beb3f6fe05bd94f20015a8c2892a77781d1bd4103b0086bb7c9bc3af545c2d9,Its source boundaries remain useful; later R3/P2 execution changes status.
