component,status,current_activation,existing_evidence,protocol_boundary,new_md_gate_status,allowed_paper_statement,forbidden_paper_statement,next_action,key_paths
"J2/M3","BLOCKED_COUPLED_MERGE_RULE_AND_TIMING_CONTRACT","PRE_COMMIT_ORDER_MUTATION is active but final_action is false; the current interface couples merge ordering and timing.","Stable 1x C_FIFO is identical on Nanning and changes map2 mean by -0.007410721 s; historical G18 is protocol-labelled only.","No exact current single-variable contrast can be formed without changing the timing contract.","BLOCKED_COUPLED_MERGE_RULE_AND_TIMING_CONTRACT","J2/M3 is activated in the current runtime and the exact contrast is blocked by a coupled contract.","J2 has an isolated current cross-map performance or fairness benefit.","Stop; do not create another mode merely to force isolation.","outputs/reports/cie_specialty_mechanism_audit.md|outputs/tables/cie_component_activation.csv|outputs/reports/cie_component_activation_audit.md"
"STRICT_DESCENT","TARGETED_LOCAL_BENEFIT_NOT_GENERAL","Filtered decisions are nonzero in all formal endpoint cells.","Nanning single_3 changes completion 28491->28506, missed 2889->2488, tardiness -31.145%, corrected backlog 100322141.572124->95914523.385383 (-4.393465%), max decisions 512->53.","Fixed-onset persistent 1x faults only; incomplete OFF makes paired full-population mean/P95/P99/max N/M. Nanning pair_3_5 corrected backlog is -28077.317 bag-s (-0.003129%), not exact tie.","MET_LOCAL_ONLY_STOP_GENERALIZATION","Strict descent has an attributable local benefit in registered Nanning single_3.","Strict descent generally improves throughput, latency, recovery, or loop avoidance.","Retain the localized result and stop generalization.","outputs/reports/cie_fault_specials.md|outputs/tables/cie_fault_specials.csv"
"P2_LOCAL_BUFFER","DORMANT_NO_ENGINEERING_GROUNDED_CAPACITY","All ten formal cells report zero applicability through rollback because formal local_queue_capacity is unbounded.","Historical cap-32 sensitivity exercised the interface but did not establish a latency benefit or physical capacity source.","Capacity 32 is sensitivity-only and not an airport engineering value.","DORMANT_NO_ENGINEERING_GROUNDED_CAPACITY","P2 is a tested but dormant design interface.","P2 contributes to current completion, latency, throughput, or safety.","Resume only after an engineering-grounded physical capacity set is frozen.","outputs/reports/cie_component_activation_audit.md|outputs/tables/cie_component_activation.csv"
"E2_EVENT_HOTPATH","COMPUTE_ONLY_ROLE","E2 suppression is active on both maps.","E2 v2 passes complete untruncated move/hold, terminal-state, and release/admission/completion-time equivalence at 1e-9; events map2 4752689->3997648 (-15.8866%) and Nanning 8645838->7087605 (-18.0229%).","Current-protocol 1x only; event_queue_peak is N/M and wall/CPU/RSS are single-run descriptive fields.","COMPLETE_STRICT_PHYSICAL_EQUIVALENCE","E2 is a compute-only, physically equivalent event suppression optimization on the audited two maps.","E2 improves physical service capacity or has repeated compute confidence intervals.","Retain COMPUTE_ONLY_ROLE; do not attribute physical performance.","outputs/reports/cie_e2_equivalence_report.md|outputs/tables/cie_e2_equivalence.csv"
"FAULT_POTENTIAL","PURE_POTENTIAL_3_OF_4_BENEFIT_1_TIE","Four same-cohort fixed-fault pairs isolate the surviving-graph service-aware DLP artifact.","Corrected backlog effects: map2 single_4 -93.065580%, map2 pair_2_4 -67.396029%, Nanning single_3 -85.093274%, Nanning pair_3_5 exact tie; completion improves in the first three.","Four fixed-onset persistent 1x faults only; incomplete populations keep paired full-population timing N/M.","MET_CONDITIONAL_FIXED_FAULT_SCOPE","Pure DLP causes substantive completion/tardiness/corrected-backlog gains in three registered cells and ties in one.","DLP improves every fault set or proves dynamic detection, repair, or recovery.","Retain the conditional result and stop scope expansion.","outputs/reports/cie_fault_specials.md|outputs/tables/cie_fault_specials.csv"
"SERVICE_NORMALIZATION","MIXED_NO_GENERAL_GAIN_STOP","All 12 runs and 4/4 matched groups completed.","Normalization and NO_QI_BUT_CALENDAR reverse direction across maps, service conditions, and business metrics.","SERVICE_X2 retains the 1x population and is a service-pressure control, not workload 2x; incomplete timing remains N/M.","MIXED_NO_GENERAL_GAIN_STOP","Neither normalization nor No-Q/I is a reusable cross-map improvement.","A favorable map or metric proves a general gain.","Stop both directions without another scorer, guard, parameter, or mode.","outputs/reports/cie_service_normalization_report.md|outputs/tables/cie_service_normalization_summary.csv"
"ACTIVATION_DISTRIBUTION_DIAGNOSTICS","NOT_MEASURED_NO_DECISION_VALUE_FOR_RERUN","Declared activation counts are available; optional distribution diagnostics were not collected.","The ten-cell activation scan already determines which targeted tests were admissible.","Missing quantiles, correlations, and hotspots are not zero and do not justify rerunning the matrix.","NOT_MEASURED_NO_DECISION_VALUE_FOR_RERUN","These activation distribution diagnostics were not measured because they had no decision value.","Unmeasured activation diagnostics equal zero or support a mechanism effect.","No rerun.","outputs/reports/cie_component_activation_audit.md|outputs/tables/cie_component_activation.csv"
"RANDOM_ROBUSTNESS","COMPLETE_FROZEN_PAIRED_SEEDS","Five scenarios, ten seeds, two arms, 100/100 artifacts, and zero failed seeds.","Frozen paired arrival uniform[-5,5] and node-service lognormal sigma=0.05; 10000 paired bootstrap resamples. Key estimates include map2 1x mean -1.1026 s, Nanning 1x mean -12.4931 s, and Nanning 2x completion +9310.2.","Frozen manifest and committed runner; two known maps only; every formal 2x THT is N/A.","COMPLETE_FROZEN_PAIRED_SEEDS","The combined P1D1-P0D0 contrast is robust in the registered scenarios with reported paired CIs and an explicit Nanning 2x max-tardiness loss.","Unknown-map generalization, separate main effects, or a universal tail gain.","Retain complete paired evidence and negative boundary.","outputs/reports/cie_random_robustness_report.md|outputs/tables/cie_random_robustness_summary.csv|configs/eval/cie_revision_manifest.yaml|scripts/eval/run_cie_random_robustness.py"
"RANDOM_POTENTIAL_DYNAMIC_INTERACTION","INTERACTION_NOT_ESTIMATED","Only P0D0 and P1D1 arms were executed in the random matrix.","The paired campaign estimates the combined contrast only.","Without P1D0 and P0D1, separate potential and dynamic effects and their interaction are unidentified.","INTERACTION_NOT_ESTIMATED","The frozen random matrix does not estimate interaction.","The paired random result isolates potential, dynamic state, or their interaction.","No post-hoc interaction claim.","outputs/reports/cie_random_robustness_report.md|outputs/tables/cie_random_robustness_summary.csv"
"RANDOM_FAULT","BLOCKED_COHORT_AND_TREATMENT_NOT_ISOLATABLE","No admissible paired randomized fault cohort exists under the current interface.","The treatment and native admission cohort cannot both be held isolatable.","A fault contrast that changes cohort cannot identify a treatment effect.","BLOCKED_COHORT_AND_TREATMENT_NOT_ISOLATABLE","Random fault robustness is explicitly blocked.","The nonfault paired campaign or deterministic fault pairs prove randomized fault robustness.","Stop; do not manufacture a randomized fault estimate.","outputs/reports/cie_random_robustness_report.md|outputs/reports/cie_fault_specials.md"
