phase,case_id,size_segments,execution_status,gate_status,control_label,goal_queue_state_artifact_status,blocker
G,G_c0,2048,NOT_RUN,PENDING,C0,NOT_RUN,awaiting execution in frozen prefix order
G,G_c0,8192,NOT_RUN,PENDING,C0,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
G,G_c1,2048,NOT_RUN,PENDING,C1,NOT_RUN,awaiting execution in frozen prefix order
G,G_c1,8192,NOT_RUN,PENDING,C1,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
G,G_c2,2048,NOT_RUN,PENDING,C2,NOT_RUN,awaiting execution in frozen prefix order
G,G_c2,8192,NOT_RUN,PENDING,C2,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
G,G_c3,2048,NOT_RUN,PENDING,C3,NOT_RUN,awaiting execution in frozen prefix order
G,G_c3,8192,NOT_RUN,PENDING,C3,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
G,G_c4,2048,NOT_RUN,PENDING,C4,NOT_RUN,awaiting execution in frozen prefix order
G,G_c4,8192,NOT_RUN,PENDING,C4,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
G,G_c5,2048,NOT_RUN,PENDING,C5,NOT_RUN,awaiting execution in frozen prefix order
G,G_c5,8192,NOT_RUN,PENDING,C5,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
G,G_c6,2048,NOT_RUN,PENDING,C6,NOT_RUN,awaiting execution in frozen prefix order
G,G_c6,8192,NOT_RUN,PENDING,C6,NOT_RUN,requires accepted prior tier and explicit 8192 authorization
