rule_category,rule_name,status,source_file,source_line_or_snippet,confidence,used_in_czr005_generation,notes
topology,fixed_map2_topology,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,"22: String mapdata = ""map2.txt"";//地图数据",HIGH,True,Main uses map2.txt; G4IRSF2 keeps processed map2.json unchanged.
topology,node_record_schema,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Map.java,29: mapinfo.D=Integer.valueOf(line1[0]);,HIGH,True,"Map header and node rows define node count, service time, x/y and outgoing adjacency."
topology,star_nodes_generate_tasks,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Map.java,51: if (vertex.getType()==1) {,HIGH,True,Type 1 nodes are task source nodes and default cangenerated_task=true.
topology,end_nodes,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Map.java,54: }else if (vertex.getType() == 2) {,HIGH,True,Type 2 nodes are terminal nodes.
topology,edge_speed_constant_2p5,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Map.java,79: edge.setV(2.5);,HIGH,True,Edge velocity is set to 2.5 in original Java map loader.
input_schema,legacy_inputdata_columns,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\inputdata.txt,1: ID EntryTime(s) STD(s) star end Unloader Loader,HIGH,True,ID EntryTime(s) STD(s) star end Unloader Loader.
task_fields,task_class_fields,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\task.java,4: int task_ID;//任务编号,HIGH,True,"task_ID, pallet_ID, star, goal, passed/pass nodes, pass_time, STD."
task_generation,read_inputdata_as_source_queues,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,"38: String path = ""inputdata.txt"";//任务数据路径",HIGH,True,Main reads inputdata.txt and groups tasks by start node.
task_generation,early_bag_threshold_4800,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,40: double time = 4800;//早到时间,HIGH,True,"If STD-entry >= 4800, bag goes to storage first."
task_generation,storage_in_goal_47,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,116: newtask.setGoal(47);,HIGH,True,Early bag first segment targets storage node 47.
task_generation,storage_out_start_52,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,125: newtask1.setStar(52);,HIGH,True,Early bag second segment starts at node 52.
task_generation,storage_out_lead_2700,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,123: double passtime = newtask1.getSTD()-2700;,HIGH,True,Storage-out pass_time is STD - 2700.
task_generation,java_pass_time_sort,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\RUN\Main.java,89: private static void Sort(ArrayList<task> arrayList) {,HIGH,True,Source queues are sorted by pass_time with Java integer comparator.
task_generation,epoch_release_from_source_queue,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Tasks.java,149: //产生新任务,HIGH,True,generate_tasks releases the first queued task at each enabled source when pass_time <= epoch.
task_generation,random_od_generation_disabled,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Tasks.java,120: //				Random random = new Random();,HIGH,False,Random goal generation exists only in commented-out code; not used for main generation.
fault_repair,fault_probability_per_edge,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Tasks.java,"128: //产生故障弧,故障率服从标准正太分布，若概率p<fault则认为有故障",MEDIUM,False,Fault events are sampled by Math.random per edge during generate_tasks.
fault_repair,repair_probability_per_fault_edge,FOUND,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目\代码-ICSsimulation\src\App\Tasks.java,138: //修好的弧,MEDIUM,False,Repair events are sampled by Math.random over current fault edges.
