section,field,status,value,unit,source,evidence_or_formula,claim_boundary
identity,airport_identity,UNKNOWN_NOT_ESTABLISHED,,,paper protocol + official airport context search,No source ties the map to Chengdu or Chongqing.,Do not infer identity from southwest-China geography.
identity,terminal_identity,UNKNOWN_NOT_ESTABLISHED,,,paper protocol,No terminal identifier was extracted.,Terminal allocation cannot be computed.
identity,represented_bhs_subsystem_share,UNKNOWN_NOT_ESTABLISHED,,share,paper protocol,No represented-system fraction or parallel-diversion rule was found.,Whole-airport passenger totals cannot be mapped directly.
identity,departure_transfer_scope,UNKNOWN_NOT_ESTABLISHED,,,paper protocol + raw input,Loader/unloader labels do not establish local/transfer scope.,No transfer-share assumption is inserted.
baseline,historical_bag_count,VALIDATED,28506,bags/day,legacy/jichang_origin_readonly/inputdata.txt,Raw data rows after header.,Historical observed input only; not a design day.
baseline,processed_segment_count,VALIDATED,43603,segments/day,data/processed/tasks/inputdata.jsonl,JSONL rows.,Segments are not independent bags.
baseline,segments_per_bag,DERIVED,1.529607802,segments/bag,raw + processed input,43603 / 28506,"Composition descriptor, not capacity."
baseline,early_split_share,DERIVED_FROM_AUDITED_RULE,0.529607802,share,Main.java + raw input,count(STD-entry >= 4800) / 28506,Historical EBS composition only.
arrival_rate,average_bag_rate,DERIVED,1187.75,bags/hour,legacy/jichang_origin_readonly/inputdata.txt,28506 / 24,24-hour mean hides flight-bank peaks.
arrival_rate,rolling_peak_5_minutes,DERIVED,3852,equivalent bags/hour,legacy/jichang_origin_readonly/inputdata.txt,"321 bags in 300 seconds; [observed start, start+window)","Injection demand, not completed throughput or capacity."
arrival_rate,rolling_peak_15_minutes,DERIVED,3388,equivalent bags/hour,legacy/jichang_origin_readonly/inputdata.txt,"847 bags in 900 seconds; [observed start, start+window)","Injection demand, not completed throughput or capacity."
arrival_rate,rolling_peak_60_minutes,DERIVED,3159,equivalent bags/hour,legacy/jichang_origin_readonly/inputdata.txt,"3159 bags in 3600 seconds; [observed start, start+window)","Injection demand, not completed throughput or capacity."
mix,loader_station_counts,VALIDATED,"{""A1"": 1176, ""B1"": 2872, ""B2"": 5544, ""C1"": 4533, ""C2"": 7542, ""D1"": 2585, ""T"": 4254}",bags/day by loader label,legacy/jichang_origin_readonly/inputdata.txt,Raw Loader column; sums to 28506.,Business station label differs from physical start node.
mix,physical_source_node_counts,VALIDATED,"{""0"": 3200, ""1"": 3193, ""2"": 3199, ""3"": 4887, ""4"": 4887, ""5"": 4886, ""53"": 4254}",bags/day by map node,legacy/jichang_origin_readonly/inputdata.txt,Raw star column.,Do not substitute for the seven paper loading-station totals.
mix,loader_to_unloader_mix,VALIDATED,"{""A1->1"": 233, ""A1->2"": 222, ""A1->3"": 261, ""A1->4"": 249, ""A1->5"": 211, ""B1->1"": 862, ""B1->2"": 861, ""B1->3"": 822, ""B1->4"": 186, ""B1->5"": 141, ""B2->1"": 1108, ""B2->2"": 1047, ""B2->3"": 1231, ""B2->4"": 1158, ""B2->5"": 1000, ""C1->1"": 923, ""C1->2"": 932, ""C1->3"": 872, ""C1->4"": 907, ""C1->5"": 899, ""C2->1"": 3910, ""C2->2"": 3632, ""D1->1"": 1016, ""D1->2"": 967, ""D1->3"": 274, ""D1->4"": 163, ""D1->5"": 165, ""T->1"": 1419, ""T->2"": 1330, ""T->3"": 604, ""T->4"": 476, ""T->5"": 425}",bags/day by OD label,legacy/jichang_origin_readonly/inputdata.txt,Raw Loader and Unloader columns.,Labels do not establish passenger transfer status.
deadline,std_minus_original_entry,DERIVED,"{""count"": 28506, ""max"": 14244.16473, ""mean"": 5432.14867792932, ""min"": 1215.5795099999996, ""p50"": 4925.862675, ""p95"": 9794.2357075, ""p99"": 13262.874529500003}",seconds,legacy/jichang_origin_readonly/inputdata.txt,"STD - EntryTime(s), R-7 quantiles.","Schedule lead, not realized slack at completion."
dwell,planned_early_bag_ebs_dwell,DERIVED_FROM_AUDITED_RULE,"{""count"": 15097, ""max"": 11544.16473, ""mean"": 4233.812425266166, ""min"": 2100.5281099999993, ""p50"": 3424.5175699999963, ""p95"": 9220.140715999998, ""p99"": 10723.944569599984}",seconds,Main.java + raw input,STD - 2700 - EntryTime(s) for early-split bags.,"Planned release interval, not measured physical EBS residence time."
