variant_id,status,fallback_name,risk_margin_threshold,raw_bag_count,processed_segment_count,planned_segments,failed_segments,complete_bag_count,min_bag_tth_minutes,mean_bag_tth_minutes,max_bag_tth_minutes,delta_vs_official_minutes,delta_vs_original_project_minutes,delta_vs_paper_iotdrpa_minutes,node_window_conflicts,runtime_full_cie_astar_calls,model_decisions,fallback_calls,source_retry_count,loop_count,elapsed_seconds,python_wall_seconds,decision,notes
official_model_plus_pibt_lite,PASS,node_window_pibt_lite,policy_default,28506,43603,43603,0,28506,3.13333333,3.97610989,7.79666907,0,0.00898718,0.01610989,0,0,359576,87051,14895,93,4.6176133,5.3071568,retain_baseline_equal,G4IRSF5 official no-A* policy.
less_wait_penalty,PASS,static_distance,policy_default,28506,43603,43603,0,28506,3.13333333,4.01605424,8.77100647,0.03994435,0.04893153,0.05605424,0,0,340738,83631,14895,0,4.5474251,5.2850747,not_promoted_slower,Uses existing static-distance safe fallback as lower wait-pressure diagnostic; node-window safety remains active.
more_goal_progress,PASS,goal_progress_guard,policy_default,28506,43603,43603,0,28506,3.13333333,4.00730136,8.73470975,0.03119147,0.04017865,0.04730136,0,0,0,331080,14895,0,3.3102809,4.1057297,not_promoted_slower,Rule-only goal-progress guard; no teacher path or future schedule.
less_fallback_when_model_confident,PASS,node_window_pibt_lite,0.5,28506,43603,43603,0,28506,3.13333333,3.98593944,7.86666907,0.00982955,0.01881673,0.02593944,0,0,352883,79689,14895,63,4.4447919,5.2723759,not_promoted_slower,"Raises model autonomy by lowering margin fallback trigger, safety audit still enforced."
risk_margin_lower,PASS,node_window_pibt_lite,0.25,28506,43603,43603,0,28506,3.13333333,4.00561536,8.13470915,0.02950547,0.03849265,0.04561536,0,0,348203,71306,14895,24,4.359945,5.2082097,not_promoted_slower,Risk margin threshold 0.25.
risk_margin_higher,PASS,node_window_pibt_lite,2,28506,43603,43603,0,28506,3.13333333,3.97610989,7.79666907,0,0.00898718,0.01610989,0,0,359576,87091,14895,93,4.5762826,5.4806808,retain_baseline_equal,Risk margin threshold 2.0.
fallback_progress_guard,PASS,model_margin_plus_cycle_guard,policy_default,28506,43603,43603,0,28506,3.13333333,4.00730136,8.73470975,0.03119147,0.04017865,0.04730136,0,0,331080,77028,14895,0,4.1802124,5.1169813,not_promoted_slower,Existing model-margin plus cycle guard fallback.
cycle_guard_light,PARTIAL,cycle_memory_penalty_low,policy_default,28506,43603,43583,20,28486,3.13333333,3.97386764,7.50037828,-0.00224225,0.00674493,0.01386764,0,0,0,359985,14895,199,3.6216299,4.6333971,reject_unsafe_or_incomplete,Rule-only light cycle-memory penalty.
route_quality_balanced,PASS,node_window_aware,policy_default,28506,43603,43603,0,28506,3.13333333,3.97443106,7.79666907,-0.00167883,0.00730835,0.01443106,0,0,358619,87193,14895,91,4.5585828,5.1358185,diagnostic_improvement_only,Existing node-window-aware fallback.
fault_aware_v1,PASS,fault_aware_node_window_pibt_lite,policy_default,28506,43603,43603,0,28506,3.13333333,3.98819374,7.86666907,0.01208385,0.02107103,0.02819374,0,0,354550,82506,14895,99,4.8040663,5.8973769,not_promoted_slower,G4IRSF5 fault-aware fallback in no-fault mapped protocol.
