check,status,local_value,expected_or_remote_value,details
branch,PASS,codex/czr005-rewrite,codex/czr005-rewrite,current branch
head_contains_g4irsf4_baseline,PASS,1aff5eb3b303ead01593906d4df580b9a50cd9ab,1aff5eb3b303ead01593906d4df580b9a50cd9ab,G4IRSF5 must build on the G4IRSF4 loop-closure baseline.
working_tree_recorded,INFO,M docs/czr005_project_governance.md | ?? outputs/reports/g4irsf5_baseline_protocol_report.md | ?? outputs/reports/g4irsf5_claim_boundary_report.md | ?? outputs/reports/g4irsf5_edge_overlap_protocol_boundary.md | ?? outputs/reports/g4irsf5_fault_aware_policy_report.md | ?? outputs/reports/g4irsf5_governance_update_report.md | ?? outputs/reports/g4irsf5_high_flow_extension_report.md | ?? outputs/reports/g4irsf5_noastar_paper_protocol_report.md | ?? outputs/reports/g4irsf5_original_paper_protocol_audit.md | ?? outputs/reports/g4irsf5_original_project_flow_report.md | ?? outputs/tables/g4irsf5_apples_to_apples_comparison.csv | ?? outputs/tables/g4irsf5_baseline_protocol_results.csv | ?? outputs/tables/g4irsf5_fault_aware_policy_comparison.csv | ?? outputs/tables/g4irsf5_git_state_audit.csv | ?? outputs/tables/g4irsf5_high_flow_extension_results.csv | ?? outputs/tables/g4irsf5_noastar_paper_protocol_results.csv | ?? outputs/tables/g4irsf5_original_project_flow_coverage.csv | ?? outputs/tables/g4irsf5_paper_baseline_inventory.csv | ?? outputs/tables/g4irsf5_paper_experiment_protocol.csv | ?? outputs/tables/g4irsf5_paper_metrics_inventory.csv | ?? scripts/eval/run_g4irsf5_original_protocol_comparative_validation.py | ?? tests/test_g4irsf5_protocol_validation.py,"clean before edits, dirty during generation",Generation writes G4IRSF5 artifacts.
remote_equal_local_at_start,PASS,1aff5eb3b303ead01593906d4df580b9a50cd9ab,1aff5eb3b303ead01593906d4df580b9a50cd9ab,This is checked before the new commit/push.
legacy_java_diff_empty,PASS,,,Legacy Java/read-only project tree must not be modified.
governance_rule_present,PASS,present,present,Paper/original-project rule added to governance doc.
paper_docx_access,PASS,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\毕业设计\毕业论文-2019210484-冯汝琛-基于物联网的机场行李处理系统动态路由规划方法-物流工程-戚铭尧.docx,readable,"If blocked, paper protocol must not be invented."
original_project_access,PASS,C:\STUDY\民航二所项目相关\冯汝琛相关材料\冯汝琛相关材料\ICS项目,readable,"If blocked, original project flow coverage must be access-missing."
processed_inputdata_jsonl,PASS,43603,43603,Original inputdata expanded into storage-in/out protocol segments.
processed_map_speed,PASS,2.5 m/s,paper primary speed 2.5 m/s,data/processed/maps/map2.json stores file_speed=2.5 on all edges.
