order,literature_id,citation,year,identifier,primary_source_url,access_status,primary_evidence,applicable_problem,transferable_mechanism,conflicting_assumptions,target_module,required_ab,prohibited_overclaim
1,PIBT_IJCAI_2019,"Okumura, Machida, Défago, and Tamura, Priority Inheritance with Backtracking for Iterative Multi-agent Path Finding, IJCAI 2019",2019,10.24963/ijcai.2019/76,https://www.ijcai.org/proceedings/2019/0076.pdf,FULL_TEXT_PRIMARY,"The paper gives every agent a unique time-varying priority, lets a blocker inherit priority, and returns valid/invalid outcomes by backtracking. Its finite-arrival theorem requires every adjacent node pair to lie on a simple cycle of length at least three.","Several simultaneously ready bags locally block one another at a junction, merge, or next-node resource.",Unique deterministic priority; recursive priority inheritance to the actual local owner; visiting/cycle guard; valid/invalid backtracking; two-phase atomic one-step commit.,"The protected airport graph is directed, has 31 directed SCCs and 11 weak-projection bridges, so it does not satisfy the paper's classic simple-cycle/biconnected completeness premise. The runtime also models timed physical resources rather than unit synchronous vertex moves.",cpp/ics_core/runtime/bounded_local_pibt.hpp and the ready-set arbitration/atomic-commit boundary,"Stage F P0/P1/P2/P3/P4 depth ablation; framework B5 versus B6 with scorer, resource semantics, pressure, and admission fixed.","Call the implementation PIBT-inspired bounded local coordination. Do not claim classic PIBT completeness, deadlock freedom, finite arrival, or throughput optimality on this graph."
2,WINPIBT_ARXIV_2019,"Okumura, Tamura, and Défago, winPIBT: Extended Prioritized Algorithm for Iterative Multi-agent Path Finding, arXiv 2019",2019,arXiv:1905.10149,https://arxiv.org/abs/1905.10149,FULL_TEXT_PRIMARY_PREPRINT,winPIBT generalizes one-step PIBT with configurable multi-step time-node reservations. The paper reports that useful window size depends on map structure and that extra reservation can itself produce awkward paths.,Diagnosing whether one-step shortsightedness causes livelock or avoidable detours in narrow passages.,Use window size as an explicit sensitivity variable and preserve the paper's warning that longer lookahead is not uniformly better.,"The required final runtime has reservation_depth=1, stores no complete future path, and forbids multi-step global reservation. The graph also lacks the completeness topology premise.",Offline diagnostic design only; no import into the final reservation-depth-one runtime,Any window >1 experiment must be separately labelled research-only and compared with P1 under identical maps/tasks; it cannot replace the mandated P0-P4 recursion-depth ablation.,"Do not call the one-step implementation winPIBT, silently retain future reservations, or infer that a larger window improves this airport map."
3,TARAU_ROUTE_CHOICE_2009,"Tarău, De Schutter, and Hellendoorn, Route Choice Control of Automated Baggage Handling Systems, Transportation Research Record 2106, 2009",2009,10.3141/2106-09,https://www.dcsc.tudelft.nl/~bdeschutter/pub/rep/09_011.pdf,FULL_TEXT_AUTHOR_TECHNICAL_REPORT,"The author manuscript compares centralized MPC, decentralized MPC, and a fast decentralized heuristic. A junction owns local switch-in and switch-out control; centralized MPC becomes computationally intractable at larger streams, while local methods trade optimality for computation.","Selecting routes at BHS junctions under dynamic demand, timing priorities, and a strict online computation budget.",Treat the junction as the local decision boundary; expose static and dynamic bag priority; measure quality-versus-computation rather than assuming centralized lookahead is deployable.,"The paper studies DCVs, switch controllers, preferred route sets, and predictive horizons. This project uses a fixed directed conveyor graph, one-next-edge decisions, no full future route, and different collision/resource semantics.","Event junction candidate ranking, local scorer adapter, and bounded decision telemetry","B3/B5 with one variable changed; E S0-S4 scorer isolation with resource semantics, PIBT, pressure, and admission fixed.","Do not import the paper's benchmark performance, call the local heuristic optimal, or claim equivalence between its DCV switches and this conveyor resource model."
4,TARAU_MODEL_BASED_2010,"Tarău, De Schutter, and Hellendoorn, Model-Based Control for Route Choice in Automated Baggage Handling Systems, IEEE TSMC-C 2010",2010,10.1109/TSMCC.2009.2036735,https://www.dcsc.tudelft.nl/~bdeschutter/pub/rep/09_048.pdf,FULL_TEXT_AUTHOR_TECHNICAL_REPORT,"The author manuscript develops an event-driven DCV model and centralized, decentralized, and distributed predictive controllers plus low-cost heuristics. It explicitly assumes low-level safety controllers, enough empty DCVs, and junctions with at most two incoming and two outgoing links.","Separating fast event simulation, local route choice, and physical safety while exposing the cost of prediction horizon.",Keep safety interlocks below route policy; trigger decisions at events; compare bounded local predictive information with a one-step heuristic under the same physical model.,"Enough empty carriers, no source starvation, assumed low-level collision control, DCV dynamics, fixed route sets, and multi-step MPC do not match source queues, timed reservations, faults, or the no-future-route constraint here.","Event loop, physical fault shield, resource-semantics layer, and local scorer/telemetry boundary",B2/B3 for event-loop and reservation-horizon isolation; C R0-R4 resource semantics before changing policy.,"Do not call this runtime MPC/model-equivalent, assume low-level safety away, or use the paper to authorize global future planning."
5,TARAU_DECENTRALIZED_2009,"Tarău, De Schutter, and Hellendoorn, Decentralized Route Choice Control of Automated Baggage Handling Systems, IFAC 2009",2009,10.3182/20090902-3-US-2007.0036,https://www.dcsc.tudelft.nl/~bdeschutter/pub/rep/09_031.pdf,FULL_TEXT_AUTHOR_TECHNICAL_REPORT,"The author manuscript uses an event-based DCV model and compares decentralized MPC with one-step local heuristics. The heuristics use local incoming/outgoing flow, optionally neighboring-junction flow; larger MPC horizon generally costs more computation.",Designing a genuinely local junction controller and auditing exactly which neighbor state crosses its information boundary.,Make local-only and local-plus-neighbor variants explicit; log every read; bound neighbor depth; compare latency and outcomes.,"The paper assumes low-level collision avoidance, sufficient DCVs, large endpoint capacity, and a DCV/switch topology. Its decentralized MPC still predicts multiple bags and is not reservation-depth one.","Bounded local observation builder, scorer feature lineage, and zero-global-scan counters",E local S1 versus S2 ID removal; G C0/C2/C3 bounded-neighbor pressure variants; hold resource and PIBT modes fixed.,"Do not call a bounded neighbor summary fully decentralized without read auditing, or transfer the paper's suboptimality/performance results to this topology."
6,JOHNSTONE_MERGE_2015,"Johnstone, Creighton, and Nahavandi, Simulation-Based Baggage Handling System Merge Analysis, Simulation Modelling Practice and Theory 53, 2015",2015,10.1016/j.simpat.2015.01.003,https://www.sciencedirect.com/science/article/pii/S1569190X15000131,PRIMARY_PUBLISHER_ABSTRACT_AND_SECTION_SNIPPETS,The publisher abstract and visible sections isolate a conveyor merge as a bottleneck and study both its control algorithm and physical layout using simulation and bag throughput. Full subscription text was not relied on.,Calibrating merge service calendars and explaining congestion where two directed inflows compete for one collector resource.,"Represent merge control and merge geometry as separate variables; measure offered input, merge busy time, queue formation, and output throughput near saturation.","The studied single-merge conveyor geometry, bag spacing, controllers, and rates are not the protected map's 23 inferred merges. This project has no authoritative physical headway/buffer calibration.","R4 merge service calendar, merge inventory, utilization telemetry, and backlog-drain reporting","C R2 versus R4 with identical direction/headway and policy; vary only merge calendar semantics, first on real-map motifs then the size ladder.","Do not copy numerical headway, spacing, layout, or capacity values; do not claim physical calibration or airport-wide capacity from a single-merge mechanism."
7,TASSIULAS_EPHREMIDES_1992,"Tassiulas and Ephremides, Stability Properties of Constrained Queueing Systems and Scheduling Policies for Maximum Throughput in Multihop Radio Networks, IEEE TAC 1992",1992,10.1109/9.182479,https://drum.lib.umd.edu/items/571fda52-aefb-4497-9a2d-69d8c7c907b9,FULL_TEXT_INSTITUTIONAL_REPOSITORY,"The paper defines stability regions for constrained queues with interdependent servers and selects feasible simultaneous server activations from global queue state. Its maximum-throughput result uses centralized decisions, slotted time, and infinite buffers.",Understanding why a queue differential can inform local routing and why stability must be measured under sustained arrivals.,"Use upstream-minus-downstream queue pressure as a diagnostic/control component; define feasible resource activations; evaluate queue stability region empirically via injection, backlog, and drain.","This runtime has continuous event time, directed travel resources, finite/unknown buffers, deadlines, faults, local bounded state, credit admission, and no centralized maximum-weight activation over the whole network.","Goal-conditioned differential pressure, expiring-credit admission, and stability/backlog telemetry","Stage G C0-C6 with pressure, credit, and PIBT introduced separately; measure arrival/departure rates, source/network backlog, and drain.","A bounded local differential term is not the paper's throughput-optimal policy. Do not claim a maximal stability region without matching its model, feasible schedules, and proof."
8,VARAIYA_MAX_PRESSURE_2013,"Varaiya, Max Pressure Control of a Network of Signalized Intersections, Transportation Research Part C 36, 2013",2013,10.1016/j.trc.2013.08.014,https://www.sciencedirect.com/science/article/pii/S0968090X13001782,PRIMARY_PUBLISHER_ABSTRACT_ONLY,"The publisher abstract models separate turn queues as infinite point queues in a store-and-forward network with iid arrivals, fixed turn ratios, iid saturation rates, and selectable compatible stages. Under those assumptions, adjacent-queue max pressure stabilizes interior feasible demand.",Choosing among competing local movements at a junction using destination/turn-conditioned upstream and downstream congestion.,Condition queues by movement/goal; subtract downstream scheduled incoming work; combine with service rate; choose only among physically compatible local actions.,Bags do not follow fixed stochastic turn ratios; queues are not infinite point queues; service is timed and faultable; deadlines and source admission matter; the controller does not select the paper's traffic-signal stage set.,"Q(node, goal), age, scheduled incoming, local service-rate estimate, and differential-pressure scorer term","G C0/C1/C2/C3 first, then C4/C5/C6; compare destination-conditioned differential against absolute queue penalty under identical loads.",Local differential pressure is not automatically max-pressure or throughput-optimal. Do not transfer the theorem without iid/turn/service/storage/stage assumptions and a proof.
9,SORENSEN_DRL_BHS_2020,"Sørensen, Nielsen, and Karstoft, Routing in Congested Baggage Handling Systems Using Deep Reinforcement Learning, Integrated Computer-Aided Engineering 27(2), 2020",2020,10.3233/ICA-190613,https://journals.sagepub.com/doi/10.3233/ICA-190613,PRIMARY_PUBLISHER_ABSTRACT_ONLY,"The publisher abstract reports a single global Dueling-DQN agent with prioritized replay and multi-action output, trained/tested in three simple but functionally realistic cyclic BHS simulations over a broad load distribution.",Testing whether a learned policy can rank congestion-aware routes better than static or dynamic shortest-path rules.,"Train across a load distribution, compare with strong rule baselines, and evaluate closed-loop deadlocks, throughput, and delivery time rather than offline accuracy alone.","The paper's controller is a single global multi-action DQN, whereas this project requires lightweight one-step local decisions, bounded state, zero global scan, an independent safety shield, and the fixed real map. Its simulated environments do not establish airport scope.",Stage-I candidate ranking training/evaluation protocol only; not the physical shield or PIBT coordinator,"After all I gates, compare v3 linear/tiny-MLP candidates with S0/S3/S4 in a closed loop at 144/512/2048/8192 before full 1x.","Do not authorize PPO/MAPPO/full RL, claim real-airport transfer, claim deadlock elimination, or equate global DQN evidence with a legal local scorer."
10,ZANG_ONLINE_GGO_2025,"Zang et al., Online Guidance Graph Optimization for Lifelong Multi-Agent Path Finding, AAAI 2025",2025,10.1609/aaai.v39i14.33614,https://ojs.aaai.org/index.php/AAAI/article/download/33614/35769,FULL_TEXT_PRIMARY,The paper learns an online policy that updates directed guidance edge/action costs from real-time traffic and integrates it with PIBT or Guided-PIBT. LMAPF throughput is goals reached per timestep; benefit varies by map and dynamic task distribution.,Adapting local route preference when congestion locations move with time-varying task banks.,Separate learned edge ranking/guidance from collision coordination; condition evaluation on dynamic demand; measure closed-loop throughput and compute overhead.,"The paper updates a map-wide guidance graph and may use guide paths/LNS, while this runtime forbids global scans and future paths and limits the learned model to legal bounded local features. Its maps, tasks, agent dynamics, and throughput denominator differ.",Stage-I lightweight local scorer feature/ranking research; PIBT and physical shield remain separate owners,"Only after I gates: static local scorer versus bounded online local features, identical PIBT/resource/admission; dynamic-bank held-out closed-loop tests.","Do not claim the reported throughput improvements on map2, import a global guidance graph/LNS into the final runtime, or treat learned guidance as collision safety."
