source,attempt,reported_status,classification,runtime_identity,is_real_java,is_full_scope,accepted_as_full_baseline,command,returncode,evidence_sha256,exclusion_reason
g4irsf10_java_baseline_attempts,dependency_inventory_original_project,PASS,JAVA_BUILD_OR_DEPENDENCY_EVIDENCE,legacy_java_build,True,False,False,,,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,compilation/dependency inventory is not a runtime baseline
g4irsf10_java_baseline_attempts,compile_original_project_java,PASS,JAVA_BUILD_OR_DEPENDENCY_EVIDENCE,legacy_java_build,True,False,False,javac -encoding UTF-8 -cp <discovered_jars> -sourcepath src -d <temp> @sources,0,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,compilation/dependency inventory is not a runtime baseline
g4irsf10_java_baseline_attempts,run_original_project_RUN_Main_headless,BLOCKED,JAVA_GUI_FULL_ATTEMPT,legacy_java_RUN.Main,True,False,False,java -Djava.awt.headless=true -cp <temp+jars> RUN.Main,1,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,headless execution failed with the recorded GUI boundary
g4irsf10_java_baseline_attempts,run_temp_headless_astar_probe,PASS,JAVA_STATIC_ASTAR_PROBE,legacy_java_Astar.research,True,False,False,java -cp <temp+jars> G4IRSF5HeadlessAstarProbe map2.txt,0,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,static A* is not the Java/CIE event scheduler
g4irsf10_java_baseline_attempts,compile_original_project_with_external_stub_gui,PASS,JAVA_BUILD_OR_DEPENDENCY_EVIDENCE,legacy_java_build,True,False,False,javac -encoding UTF-8 -cp <jars> -sourcepath <stubsrc;src> -d <temp> @sources,0,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,compilation/dependency inventory is not a runtime baseline
g4irsf10_java_baseline_attempts,run_external_stub_gui_RUN_Main,BLOCKED_TIMEOUT,JAVA_STUB_GUI_ATTEMPT,legacy_java_RUN.Main_with_external_gui_stub,True,False,False,java -Djava.awt.headless=true -cp <temp+jars> RUN.Main,timeout,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,external GUI stub timed out and has no accepted full result
g4irsf10_java_baseline_attempts,g4irsf10_source_queue_trace_extraction,EVIDENCE_ONLY,JAVA_SOURCE_SEMANTICS_EVIDENCE,legacy_java_source_audit,True,False,False,derive/read java_source_queue_one_per_epoch artifacts,0,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,source/semantic evidence is not a completed Java/CIE run
g4irsf10_java_baseline_attempts,g4irsf10_g4j_boundary,RECORDED,G4J_BOUNDARY_RECORD,claim_boundary,False,False,False,claim-boundary audit,0,ca067a787165373ce760911092889cbf0a36b1c93d34b588a42960c66a30aafc,G4J is recorded closed
g4irsf5_baseline_protocol_results,original_project_iot_drpa_text_2_5,PASS,ORIGINAL_PROJECT_RESULT_ARTIFACT,original_project_flat_text,False,False,False,,,afbcaf6e8c04edc49ed49dda813db99bf627810446a7b1efd5f1474736c00a2f,parsed historical result text is not a fresh Java execution
g4irsf5_baseline_protocol_results,static_astar_lower_bound_processed_segments,PASS,NON_JAVA_PROXY,python_or_cpp_proxy,False,False,False,,,afbcaf6e8c04edc49ed49dda813db99bf627810446a7b1efd5f1474736c00a2f,Python/C++/static proxy cannot satisfy the Java baseline
