phase,case_id,size_segments,execution_status,gate_status,pibt_label,local_queue_capacity,pibt_applicability_count,pibt_attempt_count,pibt_prepare_count,pibt_validate_count,pibt_commit_count,pibt_rollback_count,blocker
F,F_p0,2048,NOT_RUN,PENDING,P0,32,,,,,,,awaiting execution in frozen prefix order
F,F_p0,8192,NOT_RUN,PENDING,P0,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p1,2048,NOT_RUN,PENDING,P1,32,,,,,,,awaiting execution in frozen prefix order
F,F_p1,8192,NOT_RUN,PENDING,P1,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p2,2048,NOT_RUN,PENDING,P2,32,,,,,,,awaiting execution in frozen prefix order
F,F_p2,8192,NOT_RUN,PENDING,P2,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p3,2048,NOT_RUN,PENDING,P3,32,,,,,,,awaiting execution in frozen prefix order
F,F_p3,8192,NOT_RUN,PENDING,P3,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
F,F_p4,2048,NOT_RUN,PENDING,P4,32,,,,,,,awaiting execution in frozen prefix order
F,F_p4,8192,NOT_RUN,PENDING,P4,32,,,,,,,requires accepted prior tier and explicit 8192 authorization
