system,scenario,baseline_required,metrics,winner_allowed_without_v2_safe,claim_boundary
v2_safe,paper_main_2.5,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v2_safe,speed_sweep_1.5_2.0_2.5_3.0,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v2_safe,dynamic_static_12,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v2_safe,fault_16,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v2_safe,high_flow_8x,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v2_safe,rolling_day,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_model_only,paper_main_2.5,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_model_only,speed_sweep_1.5_2.0_2.5_3.0,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_model_only,dynamic_static_12,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_model_only,fault_16,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_model_only,high_flow_8x,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_model_only,rolling_day,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_node_window_pibt_lite,paper_main_2.5,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_node_window_pibt_lite,speed_sweep_1.5_2.0_2.5_3.0,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_node_window_pibt_lite,dynamic_static_12,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_node_window_pibt_lite,fault_16,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_node_window_pibt_lite,high_flow_8x,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_node_window_pibt_lite,rolling_day,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_fault_aware_fallback_if_applicable,paper_main_2.5,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_fault_aware_fallback_if_applicable,speed_sweep_1.5_2.0_2.5_3.0,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_fault_aware_fallback_if_applicable,dynamic_static_12,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_fault_aware_fallback_if_applicable,fault_16,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_fault_aware_fallback_if_applicable,high_flow_8x,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
v3_plus_fault_aware_fallback_if_applicable,rolling_day,v2_safe,"paper_main_tth,speed_sweep_tth,dynamic_static_tth,fault_success,high_flow_p95_p99,runtime_seconds,fallback_rate,node_conflicts,full_astar_calls",False,Do not report v3 positive rows without the same v2-safe row.
