task_id,expected_segment_count,returned_segment_count,completed_segment_count,complete,original_entry_time_tth_seconds,java_release_time_tth_seconds,scheduled_pre_release_wait_seconds,source_wait_seconds,network_time_seconds,total_system_time_seconds,observed_original_entry_seconds,observed_java_release_seconds,observed_source_wait_seconds,observed_network_time_seconds
17,2,2,2,True,10857.52618,239.00400000000081,10618.52218,0.5,238.50400000000081,10857.52618,10857.52618,239.00400000000081,0.5,238.50400000000081
18,2,2,2,True,10850.44753,234.5540000000001,10615.89353,0.75,233.8040000000001,10850.44753,10850.44753,234.5540000000001,0.75,233.8040000000001
19,2,2,2,True,11749.09285,235.90400000000045,11513.18885,0.0,235.90400000000045,11749.09285,11749.09285,235.90400000000045,0.0,235.90400000000045
20,2,2,2,True,11459.100729999998,247.2039999999979,11211.89673,0.0,247.2039999999979,11459.100729999998,11459.100729999998,247.2039999999979,0.0,247.2039999999979
21,2,2,2,True,11447.81423,237.25400000000081,11210.56023,0.25,237.00400000000081,11447.81423,11447.81423,237.25400000000081,0.25,237.00400000000081
22,2,2,2,True,9780.026349999998,192.80399999999827,9587.22235,0.25,192.55399999999827,9780.026349999998,9780.026349999998,192.80399999999827,0.25,192.55399999999827
23,2,2,2,True,10840.408589999997,192.25399999999718,10648.15459,0.5,191.75399999999718,10840.408589999997,10840.408589999997,192.25399999999718,0.5,191.75399999999718
24,2,2,2,True,11140.92104,195.40399999999863,10945.51704,0.25,195.15399999999863,11140.92104,11140.92104,195.40399999999863,0.25,195.15399999999863
25,2,2,2,True,10826.237639999998,194.05399999999827,10632.18364,0.75,193.30399999999827,10826.237639999998,10826.237639999998,194.05399999999827,0.75,193.30399999999827
26,2,2,2,True,9678.10168,247.4360199999992,9430.66566,0.75,246.6860199999992,9678.10168,9678.10168,247.4360199999992,0.75,246.6860199999992
27,2,2,2,True,8428.491969999997,199.00399999999718,8229.48797,2.5,196.50399999999718,8428.491969999997,8428.491969999997,199.00399999999718,2.5,196.50399999999718
28,2,2,2,True,8430.254409999998,203.40399999999863,8226.85041,2.75,200.65399999999863,8430.254409999998,8430.254409999998,203.40399999999863,2.75,200.65399999999863
29,2,2,2,True,10859.61418,233.0540000000001,10626.56018,1.0,232.0540000000001,10859.61418,10859.61418,233.0540000000001,1.0,232.0540000000001
30,2,2,2,True,10872.636539999996,247.30399999999645,10625.33254,1.25,246.05399999999645,10872.636539999996,10872.636539999996,247.30399999999645,1.25,246.05399999999645
31,2,2,2,True,10862.50952,238.65400000000045,10623.85552,1.5,237.15400000000045,10862.50952,10862.50952,238.65400000000045,1.5,237.15400000000045
32,2,2,2,True,10867.98085,246.75400000000081,10621.22685,1.75,245.00400000000081,10867.98085,10867.98085,246.75400000000081,1.75,245.00400000000081
33,2,2,2,True,11150.86417,232.3040000000001,10918.56017,0.5,231.8040000000001,11150.86417,11150.86417,232.3040000000001,0.5,231.8040000000001
34,2,2,2,True,8473.814389999998,256.4539999999979,8217.36039,3.0,253.4539999999979,8473.814389999998,8473.814389999998,256.4539999999979,3.0,253.4539999999979
35,2,2,2,True,11164.52537,249.8594899999989,10914.66588,0.75,249.1094899999989,11164.52537,11164.52537,249.8594899999989,0.75,249.1094899999989
36,2,2,2,True,9650.31619,236.90400000000045,9413.41219,1.0,235.90400000000045,9650.31619,9650.31619,236.90400000000045,1.0,235.90400000000045
37,2,2,2,True,10861.303159999996,249.30399999999645,10611.99916,2.0,247.30399999999645,10861.303159999996,10861.303159999996,249.30399999999645,2.0,247.30399999999645
38,2,2,2,True,11150.749510000001,240.00400000000081,10910.74551,1.0,239.00400000000081,11150.749510000001,11150.749510000001,240.00400000000081,1.0,239.00400000000081
39,2,2,2,True,11159.679759999997,250.4539999999979,10909.22576,1.25,249.2039999999979,11159.679759999997,11159.679759999997,250.4539999999979,1.25,249.2039999999979
40,2,2,2,True,9641.40956,233.5540000000001,9407.85556,1.25,232.3040000000001,9641.40956,9641.40956,233.5540000000001,1.25,232.3040000000001
41,2,2,2,True,9654.197400000001,199.40400000000045,9454.7934,1.0,198.40400000000045,9654.197400000001,9654.197400000001,199.40400000000045,1.0,198.40400000000045
42,2,2,2,True,9938.18847,192.80399999999827,9745.38447,0.25,192.55399999999827,9938.18847,9938.18847,192.80399999999827,0.25,192.55399999999827
43,2,2,2,True,9630.854379999997,196.00399999999718,9434.85038,1.25,194.75399999999718,9630.854379999997,9630.854379999997,196.00399999999718,1.25,194.75399999999718
44,2,2,2,True,7836.455099999999,204.40399999999863,7632.051100000001,3.25,201.15399999999863,7836.455099999999,7836.455099999999,204.40399999999863,3.25,201.15399999999863
45,2,2,2,True,10567.59285,238.40400000000045,10329.18885,1.5,236.90400000000045,10567.59285,10567.59285,238.40400000000045,1.5,236.90400000000045
46,2,2,2,True,8717.855189999998,193.80399999999827,8524.05119,0.5,193.30399999999827,8717.855189999998,8717.855189999998,193.80399999999827,0.5,193.30399999999827
47,2,2,2,True,10265.41619,244.00400000000081,10021.41219,2.25,241.75400000000081,10265.41619,10265.41619,244.00400000000081,2.25,241.75400000000081
48,2,2,2,True,10864.500809999998,244.60399999999754,10619.89681,0.0,244.60399999999754,10864.500809999998,10864.500809999998,244.60399999999754,0.0,244.60399999999754
49,2,2,2,True,9655.53285,236.8040000000001,9418.72885,1.5,235.3040000000001,9655.53285,9655.53285,236.8040000000001,1.5,235.3040000000001
50,2,2,2,True,9657.4829,241.40400000000045,9416.0789,1.75,239.65400000000045,9657.4829,9657.4829,241.40400000000045,1.75,239.65400000000045
51,2,2,2,True,10264.969819999997,250.30399999999645,10014.66582,2.5,247.80399999999645,10264.969819999997,10264.969819999997,250.30399999999645,2.5,247.80399999999645
52,2,2,2,True,10850.649510000001,237.25400000000081,10613.39551,0.25,237.00400000000081,10850.649510000001,10850.649510000001,237.25400000000081,0.25,237.00400000000081
53,2,2,2,True,10860.231039999999,248.2039999999979,10612.02704,0.5,247.7039999999979,10860.231039999999,10860.231039999999,248.2039999999979,0.5,247.7039999999979
54,2,2,2,True,10841.82618,231.3040000000001,10610.52218,0.75,230.5540000000001,10841.82618,10841.82618,231.3040000000001,0.75,230.5540000000001
55,2,2,2,True,10528.549500000001,234.8040000000001,10293.7455,1.75,233.0540000000001,10528.549500000001,10528.549500000001,234.8040000000001,1.75,233.0540000000001
56,2,2,2,True,10728.531599999998,246.60399999999754,10481.9276,1.0,245.60399999999754,10728.531599999998,10728.531599999998,246.60399999999754,1.0,245.60399999999754
57,2,2,2,True,7252.854349999998,202.00399999999718,7050.850350000001,3.5,198.50399999999718,7252.854349999998,7252.854349999998,202.00399999999718,3.5,198.50399999999718
58,2,2,2,True,9641.69905,201.65399999999863,9440.04505,2.75,198.90399999999863,9641.69905,9641.69905,201.65399999999863,2.75,198.90399999999863
59,2,2,2,True,9679.88085,242.65400000000045,9437.22685,3.0,239.65400000000045,9679.88085,9679.88085,242.65400000000045,3.0,239.65400000000045
60,2,2,2,True,7238.855209999998,206.80399999999827,7032.05121,3.75,203.05399999999827,7238.855209999998,7238.855209999998,206.80399999999827,3.75,203.05399999999827
61,2,2,2,True,9979.719889999997,249.05399999999645,9730.66589,2.0,247.05399999999645,9979.719889999997,9979.719889999997,249.05399999999645,2.0,247.05399999999645
62,2,2,2,True,9926.382359999998,197.00399999999718,9729.37836,2.25,194.75399999999718,9926.382359999998,9926.382359999998,197.00399999999718,2.25,194.75399999999718
63,2,2,2,True,9974.442840000002,245.25400000000081,9729.18884,2.5,242.75400000000081,9974.442840000002,9974.442840000002,245.25400000000081,2.5,242.75400000000081
64,2,2,2,True,9681.064229999998,255.7039999999979,9425.36023,3.25,252.4539999999979,9681.064229999998,9681.064229999998,255.7039999999979,3.25,252.4539999999979
65,2,2,2,True,9961.86623,237.8040000000001,9724.06223,2.75,235.0540000000001,9961.86623,9961.86623,237.8040000000001,2.75,235.0540000000001
66,2,2,2,True,10870.070669999997,247.5072199999977,10622.56345,0.0,247.5072199999977,10870.070669999997,10870.070669999997,247.5072199999977,0.0,247.5072199999977
67,2,2,2,True,11455.81618,234.40400000000045,11221.41218,0.0,234.40400000000045,11455.81618,11455.81618,234.40400000000045,0.0,234.40400000000045
68,2,2,2,True,9673.200819999996,253.30399999999645,9419.89682,3.5,249.80399999999645,9673.200819999996,9673.200819999996,253.30399999999645,3.5,249.80399999999645
69,2,2,2,True,9972.786579999998,255.4539999999979,9717.33258,3.0,252.4539999999979,9972.786579999998,9972.786579999998,255.4539999999979,3.0,252.4539999999979
70,2,2,2,True,8456.89752,241.00400000000081,8215.89352,1.5,239.50400000000081,8456.89752,8456.89752,241.00400000000081,1.5,239.50400000000081
71,2,2,2,True,10861.297799999997,246.60399999999754,10614.6938,0.25,246.35399999999754,10861.297799999997,10861.297799999997,246.60399999999754,0.25,246.35399999999754
