assumption_id,topic,paper_statement,source_location,implementation_choice,alternative_choices,choice_basis,frozen_before_formal_run,affects_identity,sensitivity_required,status
A01,moving_penalty,"Moving and stopped bags contribute different congestion penalties; no numerical coefficient is disclosed","Feng thesis algorithm passage preceding Table 5.3",alpha_move=headway_time=0.4s,"0.2s;0.8s",physical carrier headway anchor from the frozen map; not a recovered DH coefficient,true,true,true,FROZEN_PHYSICALLY_ANCHORED_UNDISCLOSED_COEFFICIENT
A02,stopped_penalty,"Stopped penalty exceeds moving penalty; no ratio is disclosed","Feng thesis algorithm passage preceding Table 5.3",beta_stop=2*alpha_move=0.8s,"1.5x;3x alpha_move",simple strictly larger physical-headway multiple; not a recovered DH coefficient,true,true,true,FROZEN_PHYSICALLY_ANCHORED_UNDISCLOSED_COEFFICIENT
A03,entry_position,"Selected edge is held when its first position is occupied by a stopped bag","supplied reconstruction instruction section 6.4",first footprint_cells cells define entry,"single leading cell",carrier footprint is the physical admission unit,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A04,carrier_footprint,"Use carrier length and safety distance","legacy/jichang_origin_readonly/map2.txt header",ceil((1.0m+0.0m)/0.5m)=2 cells,"one point cell",direct map parameters and fixed movement quantum,true,true,false,FROZEN_MAP_PARAMETER_DERIVATION
A05,edge_cell_rounding,"Position-level movement uses 0.2s updates","supplied reconstruction instruction section 5.1",ceil(edge_length/0.5m),"floor plus residual-time state",conservative fixed-tick lattice with less than one-tick error,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A06,synchronous_update,"Update every bag position and state together","supplied reconstruction instruction section 5.2",snapshot-plan-resolve-simultaneous-commit,"container-order mutation",paper wording does not disclose mutation visibility or traversal order; snapshot semantics remove traversal-order bias,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A07,node_competition,"The paper describes independent local node decisions but does not disclose same-tick arbitration","Feng thesis algorithm passage preceding Table 5.3","map throughTime is graph-node-local exclusive; after the overlapping transfer timer, outgoing-edge entry FIFO uses physical node-arrival tick;release tick;task ID;upstream edge ID","whole 3s node server;deadline aging;container order",one local physical junction stage plus real edge-entry arbitration without G31 merge policy,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A08,release_tick_rounding,"Historical input has sub-second entry times","legacy/jichang_origin_readonly/inputdata.txt",ceil(entry_seconds/0.2s),"floor;nearest",never admit before the recorded business time,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A09,table53_timing,"The original workbook formula sums E-D for every segment of a raw bag","original Table 5.3 workbook DH/HCA sheets and 原始数据2","sum segment completion E minus the byte-frozen shared schedule D; exclude only the inter-leg EBS schedule gap","first edge admission;raw entry","43,603/43,603 D timestamps are identical across the recovered schedule and HCA/DH sheets; workbook formulas reproduce 213.3/265.592131/517.2 s",true,true,false,FROZEN_RECOVERED_WORKBOOK_SEMANTIC
A10,ebs_storage,"Early bags are represented by independently timed inbound and outbound legs","legacy/jichang_origin_readonly/src/RUN/Main.java lines 115-127; benchmarks/java/LegacyIcsNoFaultWindowBenchmark.java lines 473-487","inbound goal 47 at entry; outbound start 52 releases at STD-2700s without a predecessor-completion gate","delay outbound until inbound completion; count storage wait as motion",matches recovered original HCA task-list insertion and release scheduling,true,true,false,FROZEN_RECOVERED_CODE_SEMANTIC
A11,goal_completion,"Completion must have a deterministic physical instant","supplied reconstruction instruction sections 5.2 and 7.1",complete when final-edge footprint exits into goal,"on edge entry;after vertex service",position-level physical arrival without G31 goal logic,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A12,equal_shortest_path,"Equal free-flow paths require stable selection","supplied reconstruction instruction section 6.2",lexicographically smallest full vertex sequence,"edge insertion order;random",deterministic and independent of Java container order,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A13,edge_residual,"Edge length need not be a multiple of 0.5m","legacy/jichang_origin_readonly/map2.txt",charge final fractional cell as one tick,"continuous residual accumulator",bounded conservative quantization consistent with fixed lattice,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A14,convoy_motion,"All bags are updated every 0.2 seconds; mutation visibility is not disclosed","Feng thesis algorithm passage preceding Table 5.3","allow cells vacated by ordinary movement; zero-service transfer; or completion to be reused in the same commit when final footprints are disjoint; admission to positive map throughTime retains the upstream footprint until service completes","snapshot occupancy blocks every follower; through admission immediately vacates upstream",preserves physical headway while allowing the explicit one-second map junction stage to propagate STOPPED state upstream,true,true,false,FROZEN_RECONSTRUCTION_ASSUMPTION
A15,coefficient_envelope,"Undisclosed coefficients require a frozen sensitivity matrix","supplied reconstruction instruction section 7.3","alpha/headway={0.5;1;2}; beta/alpha={1.5;2;3}","post-result tuning",covers physical scale uncertainty without fitting Table 5.3,true,true,true,FROZEN_PRE_RESULT_MATRIX
A16,node_through_service,"Legacy A* adds Vertex.t at start and every generated child; conflict checking excludes the goal","legacy/jichang_origin_readonly/src/App/Astar.java lines 55 and 80-88; ICS_PathFinding.java lines 294-306","at each non-goal intermediate node execute map throughTime=1.0s as a graph-node-local exclusive stage; retain the upstream edge footprint as STOPPED during service; keep the stage out of the DH score; goal service zero","ignore Vertex.t; make all timing nonexclusive; impose one exclusive 3s server; execute goal service",uses the old map's explicit through duration while avoiding both congestion erasure and an undocumented three-second capacity server,true,true,false,FROZEN_SEMANTICALLY_PARTIAL_RECONSTRUCTION_INFERENCE
A17,node_service_reporting,"The recovered Table 5.3 workbook starts every segment at shared schedule D","original Table 5.3 workbook DH/HCA sheets","formal Table 5.3 interval includes all source transfer and admission wait after D; first-admission-to-completion is emitted only as a named diagnostic","use first admission as Table 5.3 start; use raw Entry",directly follows the workbook formulas and prevents an artificially fast DH baseline,true,true,false,FROZEN_RECOVERED_WORKBOOK_SEMANTIC
A18,formal_timing_gate,"THT is a full-population statistic and formal 2x fixed-horizon THT is unavailable","supplied experiment contract and manifest no_survivor_timing=true","write formal and diagnostic-survivor min/mean/P95/P99/max only when every raw bag completes and reporting eligibility is true; otherwise all are N/A and counts are zero","use completed survivors; impute unfinished bags",prevents survivor substitution and preserves the full denominator,true,true,false,FROZEN_EXPERIMENT_CONTRACT
A19,node_service_interval_boundary,"The legacy HCA reservation predicate uses closed intervals; the DH paper does not state a node-wide three-second reservation server","legacy/jichang_origin_readonly/src/App/Astar.java lines 83-88; full-population semantic diagnostic","use a half-open graph-node-local reservation only for map throughTime=1.0s; release the upstream footprint before the following per-bag 2.0s timer; do not transfer HCA's closed whole-service interval into DH","closed whole-3s node server;fully nonexclusive intermediate timing;retain upstream footprint for all 3s","the whole-3s exclusive candidate produced mean1057.2419s and 117181154 holds; the fully nonexclusive candidate erased all stopped ticks; retaining the full boundary for 3s already produced mean350.8922s at 1000 bags",true,true,false,REJECTED_UNSUPPORTED_WHOLE_SERVICE_CAPACITY_INTERPRETATIONS
A20,uniform_transfer_stage,"The paper does not state a transfer duration","25 historical one-bag OD lower envelopes","fixed 2.0s per-bag nonexclusive source induction; after the exclusive map throughTime completes and releases the upstream footprint, fixed 2.0s per-bag overlapping transfer timer at each non-goal intermediate; zero at goal; timer expiry enters the physical outgoing-edge FIFO","no transfer stage; fitted OD-specific durations; impose a node-wide server; retain upstream occupancy for the full timer",one uniform duration is a bounded historical-OD lower-envelope inference; Demo3D TransferDuration=2 is not accepted as independent DH proof,true,true,false,FROZEN_SEMANTICALLY_PARTIAL_RECONSTRUCTION_INFERENCE
A21,evidence_identity,"Table 5.3 is a historical measurement; the unavailable DH source cannot be reconstructed merely from numerical proximity","original Table 5.3 workbook and bounded source search","name the workbook row FENG_PAPER_CIE_DH_HISTORICAL_MEASURED and the executable FENG_PAPER_ENV_CIE_DH_RECONSTRUCTION; classify the latter SEMANTICALLY_PARTIAL_RECONSTRUCTION","merge the historical row and executable result; claim recovered source",prevents executable extrapolation from being presented as the historical implementation,true,true,false,FROZEN_EVIDENCE_SEPARATION
A22,zero_intermediate_correctness,"A14 already permits zero-service vacancies to be reused in the same synchronous commit","2026-09-05 independent audit; T1-T10 and Z1-Z12; complete formal OD and map2 regressions","complete zero service once; release upstream identity and footprint before follower/source entry commits; start unchanged 2s transfer timer; preserve the positive-service start commit's preceding state label and subsequent STOPPED waiting commits","repeat zero service; change map zeros to one; add waits; discard unfinished bags","repair the existing declared handoff contract without fitting historical values",true,true,false,VALIDATED_CORRECTNESS_REPAIR_OF_EXISTING_CONTRACT
A23,equivalent_scoring_cache,"Moving/stopped score uses the same tick-start physical snapshot for every local decision","congested trace equivalence and full-population Nanning 1x equivalence","cache static candidate paths and per-edge snapshot counts; reuse score only within the identical snapshot and node/goal; preserve every logical decision/tie/unreachable count","reuse congestion across ticks; skip logical requests; switch execution framework","remove repeated calculations without changing trajectories or physical timing",true,true,false,VALIDATED_BEHAVIOR_PRESERVING_OPTIMIZATION
