task_id,raw_bag_id,source_raw_bag_id,segment_id,segment_count,start,goal,raw_entry_seconds,release_seconds,release_tick,admission_time_seconds,completion_time_seconds,table53_scheduled_interval_seconds,diagnostic_first_admission_to_completion_seconds,status,moving_ticks,stopped_ticks,hold_count,last_hold_reason
29,14,14,1,2,52,49,10668.288280000,19500.000000000,97500,19504.400000000,19668.200000000,168.200000000,163.800000000,COMPLETED,702,77,89,
30,15,15,0,2,3,47,10670.845400000,10670.845400000,53355,10673.000000000,10736.000000000,65.154600000,63.000000000,COMPLETED,210,49,49,
31,15,15,1,2,52,49,10670.845400000,21300.000000000,106500,21302.400000000,21459.200000000,159.200000000,156.800000000,COMPLETED,702,42,44,
32,16,16,0,2,3,47,10683.059530000,10683.059530000,53416,10685.200000000,10748.200000000,65.140470000,63.000000000,COMPLETED,210,49,49,
33,16,16,1,2,52,49,10683.059530000,19500.000000000,97500,19504.800000000,19670.000000000,170.000000000,165.200000000,COMPLETED,702,84,98,
34,17,17,0,2,2,47,10683.477820000,10683.477820000,53418,10685.600000000,10756.200000000,72.722180000,70.600000000,COMPLETED,218,63,63,
35,17,17,1,2,52,50,10683.477820000,21300.000000000,106500,21302.800000000,21502.000000000,202.000000000,199.200000000,COMPLETED,892,56,60,
36,18,18,0,2,0,47,10683.106470000,10683.106470000,53416,10685.200000000,10744.600000000,61.493530000,59.400000000,COMPLETED,192,49,49,
37,18,18,1,2,52,50,10683.106470000,21300.000000000,106500,21303.200000000,21503.800000000,203.800000000,200.600000000,COMPLETED,892,63,69,
38,19,19,0,2,1,47,10691.811150000,10691.811150000,53460,10694.000000000,10760.000000000,68.188850000,66.000000000,COMPLETED,210,56,56,
39,19,19,1,2,52,50,10691.811150000,22200.000000000,111000,22202.000000000,22398.400000000,198.400000000,196.400000000,COMPLETED,892,42,42,
40,20,20,0,2,3,47,10693.103270000,10693.103270000,53466,10695.200000000,10758.200000000,65.096730000,63.000000000,COMPLETED,210,49,49,
41,20,20,1,2,52,48,10693.103270000,21900.000000000,109500,21902.000000000,22106.200000000,206.200000000,204.200000000,COMPLETED,976,21,21,
42,21,21,0,2,2,47,10693.439770000,10693.439770000,53468,10695.600000000,10766.200000000,72.760230000,70.600000000,COMPLETED,218,63,63,
43,21,21,1,2,52,50,10693.439770000,21900.000000000,109500,21902.000000000,22098.400000000,198.400000000,196.400000000,COMPLETED,892,42,42,
44,22,22,0,2,4,47,10810.777650000,10810.777650000,54054,10812.800000000,10871.200000000,60.422350000,58.400000000,COMPLETED,202,42,42,
45,22,22,1,2,52,49,10810.777650000,20400.000000000,102000,20402.400000000,20559.200000000,159.200000000,156.800000000,COMPLETED,702,42,44,
46,23,23,0,2,5,47,11253.845410000,11253.845410000,56270,11256.000000000,11313.600000000,59.754590000,57.600000000,COMPLETED,198,42,42,
47,23,23,1,2,52,49,11253.845410000,21900.000000000,109500,21902.400000000,22059.200000000,159.200000000,156.800000000,COMPLETED,702,42,44,
48,24,24,0,2,3,47,11258.482960000,11258.482960000,56293,11260.600000000,11323.600000000,65.117040000,63.000000000,COMPLETED,210,49,49,
49,24,24,1,2,52,49,11258.482960000,22200.000000000,111000,22202.400000000,22359.200000000,159.200000000,156.800000000,COMPLETED,702,42,44,
50,25,25,0,2,4,47,11270.816360000,11270.816360000,56355,11273.000000000,11331.400000000,60.583640000,58.400000000,COMPLETED,202,42,42,
51,25,25,1,2,52,49,11270.816360000,21900.000000000,109500,21902.800000000,22061.000000000,161.000000000,158.200000000,COMPLETED,702,49,53,
52,26,26,0,2,4,47,11272.334340000,11272.334340000,56362,11274.400000000,11335.000000000,62.665660000,60.600000000,COMPLETED,202,53,53,
53,26,26,1,2,52,48,11272.334340000,20700.000000000,103500,20702.400000000,20908.000000000,208.000000000,205.600000000,COMPLETED,976,28,30,
54,27,27,0,2,5,47,11272.512030000,11272.512030000,56363,11274.600000000,11333.200000000,60.687970000,58.600000000,COMPLETED,198,47,47,
55,27,27,1,2,52,49,11272.512030000,19500.000000000,97500,19505.200000000,19671.800000000,171.800000000,166.600000000,COMPLETED,702,91,107,
56,28,28,0,2,3,47,11271.149590000,11271.149590000,56356,11273.200000000,11340.400000000,69.250410000,67.200000000,COMPLETED,210,70,70,
57,28,28,1,2,52,49,11271.149590000,19500.000000000,97500,19505.600000000,19673.600000000,173.600000000,168.000000000,COMPLETED,702,98,116,
58,29,29,0,2,0,47,11276.439820000,11276.439820000,56383,11278.600000000,11338.600000000,62.160180000,60.000000000,COMPLETED,192,52,52,
59,29,29,1,2,52,50,11276.439820000,21900.000000000,109500,21903.200000000,22103.800000000,203.800000000,200.600000000,COMPLETED,892,63,69,
60,30,30,0,2,5,47,11275.667460000,11275.667460000,56379,11277.800000000,11336.800000000,61.132540000,59.000000000,COMPLETED,198,49,49,
61,30,30,1,2,52,48,11275.667460000,21900.000000000,109500,21902.400000000,22108.000000000,208.000000000,205.600000000,COMPLETED,976,28,30,
62,31,31,0,2,1,47,11278.144480000,11278.144480000,56391,11280.200000000,11346.200000000,68.055520000,66.000000000,COMPLETED,210,56,56,
63,31,31,1,2,52,50,11278.144480000,21900.000000000,109500,21903.600000000,22105.600000000,205.600000000,202.000000000,COMPLETED,892,70,78,
64,32,32,0,2,2,47,11276.773150000,11276.773150000,56384,11278.800000000,11349.400000000,72.626850000,70.600000000,COMPLETED,218,63,63,
65,32,32,1,2,52,50,11276.773150000,21900.000000000,109500,21904.000000000,22107.400000000,207.400000000,203.400000000,COMPLETED,892,77,87,
66,33,33,0,2,0,47,11276.439830000,11276.439830000,56383,11279.000000000,11342.200000000,65.760170000,63.200000000,COMPLETED,192,68,70,
67,33,33,1,2,52,50,11276.439830000,22200.000000000,111000,22202.800000000,22402.000000000,202.000000000,199.200000000,COMPLETED,892,56,60,
68,34,34,0,2,3,47,11284.639610000,11284.639610000,56424,11286.800000000,11351.200000000,66.560390000,64.400000000,COMPLETED,210,56,56,
69,34,34,1,2,52,48,11284.639610000,19500.000000000,97500,19502.800000000,19709.800000000,209.800000000,207.000000000,COMPLETED,976,35,39,
70,35,35,0,2,4,47,11290.334120000,11290.334120000,56452,11292.400000000,11356.600000000,66.265880000,64.200000000,COMPLETED,202,71,71,
71,35,35,1,2,52,48,11290.334120000,22200.000000000,111000,22202.000000000,22406.200000000,206.200000000,204.200000000,COMPLETED,976,21,21,
72,36,36,0,2,1,47,11285.587810000,11285.587810000,56428,11287.600000000,11354.800000000,69.212190000,67.200000000,COMPLETED,210,62,62,
73,36,36,1,2,52,50,11285.587810000,20700.000000000,103500,20702.800000000,20902.000000000,202.000000000,199.200000000,COMPLETED,892,56,60,
74,37,37,0,2,5,47,11291.000840000,11291.000840000,56456,11293.200000000,11353.000000000,61.999160000,59.800000000,COMPLETED,198,53,53,
75,37,37,1,2,52,48,11291.000840000,21900.000000000,109500,21902.800000000,22109.800000000,209.800000000,207.000000000,COMPLETED,976,35,39,
76,38,38,0,2,2,47,11294.254490000,11294.254490000,56472,11296.400000000,11367.000000000,72.745510000,70.600000000,COMPLETED,218,63,63,
77,38,38,1,2,52,50,11294.254490000,22200.000000000,111000,22203.200000000,22403.800000000,203.800000000,200.600000000,COMPLETED,892,63,69,
78,39,39,0,2,3,47,11295.774240000,11295.774240000,56479,11297.800000000,11360.800000000,65.025760000,63.000000000,COMPLETED,210,49,49,
79,39,39,1,2,52,48,11295.774240000,22200.000000000,111000,22202.400000000,22408.000000000,208.000000000,205.600000000,COMPLETED,976,28,30,
80,40,40,0,2,0,47,11293.144440000,11293.144440000,56466,11295.200000000,11358.400000000,65.255560000,63.200000000,COMPLETED,192,68,68,
81,40,40,1,2,52,50,11293.144440000,20700.000000000,103500,20703.200000000,20903.800000000,203.800000000,200.600000000,COMPLETED,892,63,69,
82,41,41,0,2,1,47,11846.206600000,11846.206600000,59232,11848.400000000,11914.400000000,68.193400000,66.000000000,COMPLETED,210,56,56,
83,41,41,1,2,52,49,11846.206600000,21300.000000000,106500,21303.600000000,21464.600000000,164.600000000,161.000000000,COMPLETED,702,63,71,
84,42,42,0,2,4,47,11850.615530000,11850.615530000,59254,11852.800000000,11911.200000000,60.584470000,58.400000000,COMPLETED,202,42,42,
85,42,42,1,2,52,49,11850.615530000,21600.000000000,108000,21602.400000000,21759.200000000,159.200000000,156.800000000,COMPLETED,702,42,44,
86,43,43,0,2,5,47,11861.149620000,11861.149620000,59306,11863.200000000,11920.800000000,59.650380000,57.600000000,COMPLETED,198,42,42,
87,43,43,1,2,52,49,11861.149620000,21300.000000000,106500,21304.000000000,21466.400000000,166.400000000,162.400000000,COMPLETED,702,70,80,
88,44,44,0,2,3,47,11868.948900000,11868.948900000,59345,11871.000000000,11934.000000000,65.051100000,63.000000000,COMPLETED,210,49,49,
89,44,44,1,2,52,49,11868.948900000,19500.000000000,97500,19509.200000000,19675.400000000,175.400000000,166.200000000,COMPLETED,702,89,125,
90,45,45,0,2,1,47,11875.811150000,11875.811150000,59380,11878.000000000,11944.000000000,68.188850000,66.000000000,COMPLETED,210,56,56,
91,45,45,1,2,52,50,11875.811150000,22200.000000000,111000,22203.600000000,22405.600000000,205.600000000,202.000000000,COMPLETED,892,70,78,
92,46,46,0,2,4,47,11874.948810000,11874.948810000,59375,11877.000000000,11935.800000000,60.851190000,58.800000000,COMPLETED,202,44,44,
93,46,46,1,2,52,49,11874.948810000,20400.000000000,102000,20402.800000000,20561.000000000,161.000000000,158.200000000,COMPLETED,702,49,53,
94,47,47,0,2,2,47,11874.587810000,11874.587810000,59373,11876.600000000,11947.600000000,73.012190000,71.000000000,COMPLETED,218,65,65,
95,47,47,1,2,52,50,11874.587810000,21900.000000000,109500,21904.400000000,22109.200000000,209.200000000,204.800000000,COMPLETED,892,84,96,
96,48,48,0,2,4,47,11881.103190000,11881.103190000,59406,11883.200000000,11941.600000000,60.496810000,58.400000000,COMPLETED,202,42,42,
