ID EntryTime(s) STD(s) star end Unloader Loader
0 8264.845453 22200 3 49 1 C2
1 8866.845453 22200 4 49 1 C2
2 8872.816299 22200 5 49 2 C2
3 8876.000872 22200 3 48 1 C1
4 9457.482986 22200 3 49 1 C2
5 9471.615484 23100 4 49 1 C2
6 10059.62162 22200 5 49 2 C2
7 10073.28213 22200 3 49 1 C2
8 10086.10648 23400 0 50 1 B2
9 10086.33414 23400 4 48 2 C1
10 10086.97294 22200 5 48 1 C1
11 10084.43982 23400 1 50 2 B2
12 10644.1686 24000 0 49 1 B1
13 10668.17885 24300 4 49 1 C2
14 10668.28828 22200 5 49 1 C2
15 10670.8454 24000 3 49 2 C2
16 10683.05953 22200 3 49 1 D1
17 10683.47782 24000 2 50 3 B2
18 10683.10647 24000 0 50 4 B2
19 10691.81115 24900 1 50 3 B2
20 10693.10327 24600 3 48 4 C1
21 10693.43977 24600 2 50 1 B2
22 10810.77765 23100 4 49 1 C2
23 11253.84541 24600 5 49 1 C2
24 11258.48296 24900 3 49 2 C2
25 11270.81636 24600 4 49 2 C2
26 11272.33434 23400 4 48 2 C1
27 11272.51203 22200 5 49 1 C2
28 11271.14959 22200 3 49 2 C2
29 11276.43982 24600 0 50 5 B2
30 11275.66746 24600 5 48 3 C1
31 11278.14448 24600 1 50 1 B2
32 11276.77315 24600 2 50 2 B2
33 11276.43983 24900 0 50 4 B2
34 11284.63961 22200 3 48 1 C1
35 11290.33412 24900 4 48 1 C1
36 11285.58781 23400 1 50 1 B2
37 11291.00084 24600 5 48 4 C1
38 11294.25449 24900 2 50 3 B2
39 11295.77424 24900 3 48 5 C1
40 11293.14444 23400 0 50 2 B2
41 11846.2066 24000 1 49 1 B1
42 11850.61553 24300 4 49 1 C2
43 11861.14962 24000 5 49 2 C2
44 11868.9489 22200 3 49 1 C2
45 11875.81115 24900 1 50 3 B2
46 11874.94881 23100 4 49 1 C2
47 11874.58781 24600 2 50 1 B2
48 11881.10319 25200 4 48 2 C1
49 11876.27115 24000 0 50 4 B2
50 11879.9211 24000 1 50 3 B2
51 11884.33418 24600 5 48 4 C1
52 11883.60449 25200 2 50 5 B2
53 11887.97296 25200 3 48 3 C1
54 11892.47782 25200 0 50 1 B2
55 11905.2545 24900 0 50 3 A1
56 12017.0724 25200 4 48 4 C1
57 12452.14965 22200 5 49 1 C2
58 12463.95495 24600 3 49 1 C2
59 12466.77315 24600 1 50 1 B2
60 12463.94879 22200 4 49 2 C2
61 12469.33411 24900 5 48 5 C1
62 12470.62164 24900 5 49 2 C2
63 12475.81116 24900 2 50 4 B2
64 12476.63977 24600 3 48 3 C1
65 12478.93777 24900 0 50 3 B2
66 12472.43655 25800 4 48 1 C1
67 12481.58782 26400 1 50 4 B2
68 12482.10318 24600 5 48 4 C1
69 12479.66742 24900 3 48 1 C1
70 12485.10648 23400 2 50 2 B2
71 12484.3062 25800 4 48 5 C1
72 12481.60448 23400 0 50 1 B2
73 12492.97299 22200 5 48 1 C1
74 12494.43982 24600 1 50 5 B2
75 12487.77417 23400 3 48 2 C1
76 12495.92141 24600 2 50 2 B2
77 12624.00081 24600 3 49 2 C2
78 13046.64994 24000 2 49 1 B1
79 13051.28215 26400 4 49 1 C2
80 13046.16178 26400 0 50 2 B2
81 13052.84528 26400 5 49 2 C2
82 13052.05944 24600 4 48 4 D1
83 13053.28828 22200 3 49 1 C2
84 13057.8454 24000 4 49 2 C2
85 13056.10649 24000 1 50 3 B2
86 13065.51217 26400 5 49 1 C2
87 13064.17869 24300 3 49 1 C2
88 13063.43983 25200 2 50 1 B2
89 13072.84538 23100 4 49 1 C2
90 13069.93782 25200 0 50 5 B2
91 13070.4367 25200 4 48 3 C1
92 13075.49516 27000 1 50 3 B2
93 13080.92116 26700 2 50 5 B2
94 13081.44086 25200 5 48 2 C1
95 13073.60448 24600 0 50 1 B2
96 13083.00075 25200 3 48 4 C1
97 13086.47782 24000 1 50 4 B2
98 13087.76976 26400 4 48 2 C1
99 13082.10644 26400 2 50 4 B2
100 13089.43651 26700 5 48 3 C1
101 13085.77314 26400 0 50 3 B2
102 13085.10757 24600 3 48 4 C1
103 13090.14448 24900 1 50 3 B2
104 13105.4345 24600 1 50 1 A1
105 13227.07221 26700 2 50 1 B2
106 13378.99227 22200 53 48 1 T
107 13381.08134 22200 53 48 1 T
108 13422.30902 22200 53 49 2 T
109 13423.39919 22200 53 49 2 T
110 13437.28805 22200 53 49 1 T
111 13441.40844 22200 53 49 1 T
112 13439.70899 22200 53 49 1 T
113 13449.79917 22200 53 49 1 T
114 13470.8578 22200 53 49 2 T
115 13476.52445 22200 53 48 1 T
116 13524.56247 22200 53 49 1 T
117 13628.33719 22200 53 49 1 T
118 13637.17885 24600 5 49 1 C2
119 13653.14966 24900 3 49 2 C2
120 13653.81616 27300 4 49 2 C2
121 13651.48299 22200 5 49 1 C2
122 13657.14959 22200 3 49 1 C2
123 13655.92115 27000 0 50 3 B2
124 13657.95491 27300 4 49 1 C2
125 13664.3341 27000 4 48 4 C1
126 13659.48291 27000 5 49 2 C2
127 13661.81116 26400 1 50 4 B2
128 13661.97291 22200 5 48 1 C1
129 13663.17873 22200 3 49 2 C2
130 13666.66751 25800 3 48 1 C1
131 13669.8455 24600 4 49 2 C2
132 13673.33407 23400 4 48 2 C1
133 13665.6045 23400 2 50 1 B2
134 13666.97288 25800 5 48 5 C1
135 13672.43982 24600 0 50 1 B2
136 13669.7743 24900 3 48 1 C1
137 13675.14449 24600 1 50 5 B2
138 13672.44083 24600 4 48 3 C1
139 13673.59716 27000 2 50 2 B2
140 13680.25482 23400 0 50 2 B2
141 13678.77417 27000 5 48 5 C1
142 13680.33416 24900 3 48 5 C1
143 13690.77316 24900 1 50 3 B2
144 13693.47781 24900 2 50 4 B2
145 13690.77095 26400 2 50 4 A1
146 13704.2545 24900 0 50 3 A1
147 13835.78001 24600 4 48 4 C1
148 13851.11616 24600 0 50 2 B2
149 14023.08807 23100 53 49 1 T
150 14032.20845 23100 53 49 1 T
151 14065.02247 23100 53 49 1 T
152 14179.65194 22200 53 49 1 T
153 14235.8454 24300 5 49 1 C2
154 14234.48303 27600 3 49 1 C2
155 14243.94872 22200 4 49 1 C2
156 14243.48303 22200 5 49 1 C2
157 14255.6666 24000 0 49 1 B1
158 14258.17872 22200 3 49 2 C2
159 14252.25449 24000 1 50 3 B2
160 14261.50193 28200 1 49 2 B1
161 14261.92116 27900 2 50 1 B2
162 14261.9489 27600 4 49 2 C2
163 14267.60449 27900 0 50 5 B2
164 14260.61544 26400 5 49 1 C2
165 14263.97293 25200 5 48 3 C1
166 14266.28217 27600 3 49 1 C2
167 14271.14278 26700 1 50 5 B2
168 14264.76983 27600 3 48 1 C1
169 14270.94879 26400 4 49 1 C2
170 14266.44148 26400 2 50 2 B2
171 14265.33408 28500 4 48 4 C1
172 14274.48292 23100 5 49 1 C2
173 14267.97292 26700 5 48 3 C1
174 14271.70806 24600 3 48 4 C1
175 14276.60449 28500 0 50 2 B2
176 14283.00097 25200 4 48 2 C1
177 14282.25448 24900 1 50 3 B2
178 14278.66752 25200 5 48 4 C1
179 14287.93781 26700 2 50 1 B2
180 14289.43641 22200 3 48 1 C1
181 14286.58777 24000 0 50 4 B2
182 14284.47782 24600 1 50 1 B2
183 14297.14448 28500 2 50 3 B2
184 14318.61549 26400 3 49 2 C2
185 14324.28824 24000 4 49 2 C2
186 14332.43982 25200 0 50 1 B2
187 14330.93781 27600 1 50 4 B2
188 14335.25449 27000 2 50 3 B2
